Player,gp-gs,g,a,pts,sh,sh%,sog,sog%,gw,up,dn,gb,to,ct,faceoff,pct,pen-min
Sean Heffernan,13-13,19,38,57,59,0.322,0,0.0,0,0,0,39,0,0,0-0,0.0,0-0.0
Derek Radebaugh,13-13,23,17,40,67,0.343,0,0.0,0,0,0,23,0,0,0-0,0.0,0-0.0
Del Halladay,13-13,23,16,39,65,0.354,0,0.0,0,0,0,60,0,0,0-0,0.0,0-0.0
Zach Thornton,13-0,23,6,29,58,0.397,0,0.0,0,0,0,42,0,0,60-114,0.526,0-0.0
Kevin Lutz,12-8,24,4,28,63,0.381,0,0.0,0,0,0,19,0,0,0-0,0.0,0-0.0
Brian Basco,13-13,20,2,22,62,0.323,0,0.0,0,0,0,23,0,0,38-95,0.4,0-0.0
Brian Duffy,13-0,11,9,20,32,0.344,0,0.0,0,0,0,37,0,0,10-19,0.526,0-0.0
Mfon Udo,13-3,11,5,16,30,0.367,0,0.0,0,0,0,12,0,0,0-0,0.0,0-0.0
Mark O'Brien,12-0,12,2,14,29,0.414,0,0.0,0,0,0,20,0,0,1-1,1.0,0-0.0
Andy Martin,11-0,10,2,12,36,0.278,0,0.0,0,0,0,5,0,0,0-0,0.0,0-0.0
Matt Dwan,13-13,7,2,9,15,0.467,0,0.0,0,0,0,72,0,0,0-0,0.0,0-0.0
Kevin Hayes,13-2,3,4,7,19,0.158,0,0.0,0,0,0,10,0,0,0-0,0.0,0-0.0
Tom Welsch,13-0,3,2,5,12,0.25,0,0.0,0,0,0,8,0,0,63-104,0.606,0-0.0
Andy Roberts,13-0,2,0,2,5,0.4,0,0.0,0,0,0,2,0,0,0-0,0.0,0-0.0
Mike Keeney,8-0,1,1,2,10,0.1,0,0.0,0,0,0,3,0,0,0-0,0.0,0-0.0
Bryan Smith,4-0,0,2,2,4,0.0,0,0.0,0,0,0,6,0,0,0-0,0.0,0-0.0
Brian Harrington,13-0,1,0,1,4,0.25,0,0.0,0,0,0,13,0,0,18-34,0.529,0-0.0
Greg Carroll,5-0,1,0,1,3,0.333,0,0.0,0,0,0,0,0,0,0-0,0.0,0-0.0
Brian Volpe,13-0,1,0,1,1,1.0,0,0.0,0,0,0,11,0,0,0-0,0.0,0-0.0
Brendan Fry,13-13,0,1,1,3,0.0,0,0.0,0,0,0,34,0,0,0-0,0.0,0-0.0
Jason Foley,13-13,0,1,1,1,0.0,0,0.0,0,0,0,24,0,0,0-0,0.0,0-0.0
Bill Wilson,13-13,0,0,0,0,0.0,0,0.0,0,0,0,31,0,0,1-1,1.0,0-0.0
Stan Ross,13-0,0,0,0,2,0.0,0,0.0,0,0,0,10,0,0,0-0,0.0,0-0.0
Mark Murphy,13-0,0,0,0,1,0.0,0,0.0,0,0,0,5,0,0,0-0,0.0,0-0.0
Tim McGeeney,13-26,0,0,0,0,0.0,0,0.0,0,0,0,5,0,0,0-0,0.0,0-0.0
Eamon McCormick,13-0,0,0,0,3,0.0,0,0.0,0,0,0,3,0,0,0-0,0.0,0-0.0
Chris Lloyd,3-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0-0,0.0,0-0.0
Mark Lawson,3-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0-0,0.0,0-0.0
Casey Larkin,9-0,0,0,0,0,0.0,0,0.0,0,0,0,2,0,0,0-0,0.0,0-0.0
Paul Kelley,10-0,0,0,0,1,0.0,0,0.0,0,0,0,9,0,0,0-0,0.0,0-0.0
Mark Guariglia,7-0,0,0,0,0,0.0,0,0.0,0,0,0,3,0,0,0-0,0.0,0-0.0
Sean Gaiser,4-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0-0,0.0,0-0.0
Team totals,13,195,114,309,585,0.333,384,0.656,11,0,0,533,0,0,190-367,0.518,86-63.0
Opp totals,13,128,66,194,431,0.297,347,0.805,2,0,0,401,0,0,177-367,0.482,77-61.5
