Date,Opponent,Score,gs,min,off,def,reb,ast,to,a/to,stl,blk,pf,dq
Nov 9,vs. Virginia Intermont,"W, 68-45",1,25,6,3,9,0,3,0.0,1,2,2,0
Nov 10,vs. Ave Maria,"L, 69-58",1,31,3,6,9,1,1,1.0,3,0,4,0
Nov 16,UPR-Bayamon,"W, 72-39",1,19,4,6,10,0,3,0.0,2,1,1,0
Nov 17,Lindenwood (MO),"W, 73-66",1,30,2,3,5,0,2,0.0,6,0,4,0
Nov 21,Palm Beach Atl.,"L, 81-79",1,22,4,1,5,0,3,0.0,1,0,3,0
Nov 26,Warner University,"W, 92-43",1,20,4,5,9,0,1,0.0,1,2,1,0
Dec 1,Nova Southeastern,"W, 73-69",1,25,5,7,12,1,0,-,2,0,5,1
Dec 10,at Palm Beach Atl.,"L, 68-56",1,22,3,3,6,0,2,0.0,0,0,4,0
Dec 19,at Valdosta St.,"L, 69-64",1,36,7,6,13,0,5,0.0,3,0,4,0
Dec 29,Ursuline,"W, 60-55",1,25,4,12,16,0,4,0.0,3,1,4,0
Dec 30,Trevecca Nazarene,"L, 64-51",1,25,4,4,8,0,1,0.0,0,0,4,0
Jan 5,Lynn,"L, 68-51",1,26,2,4,6,0,4,0.0,2,0,0,0
Jan 9,Fla. Southern,"W, 56-46",-,14,4,4,8,0,2,0.0,1,0,3,0
Jan 12,at Barry,"L, 81-68",-,18,5,2,7,1,2,0.5,1,0,3,0
Jan 16,at Tampa,"W, 64-44",-,11,3,4,7,0,3,0.0,0,0,5,1
Jan 19,Florida Tech,"L, 74-62",-,19,3,4,7,0,3,0.0,0,0,4,0
Jan 23,at Eckerd,"W, 53-47",-,12,0,2,2,0,2,0.0,0,0,2,0
Jan 26,Rollins,"W, 52-48",-,12,1,1,2,0,2,0.0,0,0,1,0
Feb 2,at Nova Southeastern,"L, 78-63",-,11,2,3,5,1,3,0.3,0,0,3,0
Feb 6,at Lynn,"L, 68-58",-,15,1,0,1,0,0,-,3,0,1,0
Feb 9,Barry,"L, 66-58",-,13,1,2,3,0,2,0.0,1,0,1,0
Feb 13,at Fla. Southern,"W, 66-59",1,22,2,2,4,1,1,1.0,0,0,5,1
Feb 16,at Florida Tech,"W, 72-70",1,24,4,3,7,1,0,-,2,0,4,0
Feb 20,Tampa,"L, 68-63",1,16,2,3,5,0,0,-,0,0,1,0
Feb 23,at Rollins,"L, 87-74",-,22,5,0,5,0,2,0.0,2,0,3,0
Feb 27,Eckerd,"L, 64-62",-,17,5,0,5,0,4,0.0,0,1,2,0
Mar 7,vs. Lynn,"W, 68-50",-,17,6,2,8,0,1,0.0,0,3,3,0
Mar 9,vs. Tampa,"W, 76-60",-,15,2,1,3,0,1,0.0,1,0,3,0
Mar 10,vs. Rollins,"L, 74-59",-,13,1,3,4,0,3,0.0,0,0,2,0
