TRB%,Age,eFG%,TOV%,Rk,Opp,ORB%,GS,DRtg
13.5,37-131,.333,0.0,16,SEA,27.9,0,115
0.0,37-136, , ,18,GSW,0.0,0,113
11.6,37-161,.000,0.0,25,ORL,22.3,0,118
0.0,37-209, , ,48,TOR,0.0,0,117
0.0,37-163,1.000,0.0,26,SEA,0.0,0,125
17.2,37-175, , ,31,WSB,37.2,0,128
0.0,37-185,1.000,0.0,36,MIL,0.0,0,99
0.0,37-146, ,100.0,21,IND,0.0,0,118
18.1,37-203,1.000,15.1,45,CHI,15.4,0,120
15.6,37-197,.400,13.7,41,ATL,6.2,0,85
9.6,37-128,.000,50.0,15,LAL,0.0,0,100
11.3,37-050,.000,0.0,4,MIA,4.7,0,103
0.0,37-047,1.000,0.0,2,POR,0.0,0,102
10.8,37-127, , ,14,CHH,0.0,0,104
15.1,37-149,.000,0.0,22,NYK,0.0,0,81
21.2,37-058,.286,0.0,8,PHI,0.0,0,83
11.4,37-177,.000,20.0,32,CHI,22.2,0,113
11.8,37-166,1.000,0.0,27,DAL,0.0,0,119
0.0,37-134, , ,17,VAN,0.0,0,112
22.2,37-057,.286,0.0,7,CHI,18.3,0,110
0.0,37-190,.000,50.0,38,NYK,0.0,0,120
24.5,37-173,1.000,66.7,30,PHO,52.2,0,112
31.6,37-183,.000,25.0,35,DET,22.9,0,121
0.0,37-171,.000,0.0,29,DEN,0.0,0,106
13.8,37-048,.375,18.4,3,ORL,13.6,0,115
0.0,37-139,.000,0.0,19,LAL,0.0,0,125
0.0,37-169,1.000,0.0,28,SAS,0.0,0,77
9.1,37-212,.333,43.6,50,ATL,5.7,0,118
