Loc #,Frequency,Emission,Class,Units,Pag,Pwr,Lat,Long,City,County,State
1,31.18,20K0F3E,FB,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,31.18,11K2F3E,FB2,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,31.18,20K0F3E,FB2,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,31.18,11K2F3E,FB,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.265,11K2F3E,FB2,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.265,20K0F3E,FB,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.265,20K0F3E,FB2,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.265,11K2F3E,FB,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.355,20K0F3E,FB2,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.355,11K2F3E,FB,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.355,11K2F3E,FB2,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.355,20K0F3E,FB,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.385,11K2F3E,FB,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.385,11K2F3E,FB2,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.385,20K0F3E,FB,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.385,20K0F3E,FB2,1,0,50.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.445,11K2F3E,FB2,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.445,20K0F3E,FB,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.445,20K0F3E,FB2,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,151.445,11K2F3E,FB,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,153.755,20K0F3E,FB2,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,153.755,11K2F3E,FB,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,153.755,20K0F3E,FB,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
1,153.755,11K2F3E,FB2,1,0,100.0,39.68628,-123.57947,LAYTONVILLE,MENDOCINO,CA
