2B,SO,GIDP,POS,3B,AB,R,SF
3,11,2,C,2,71,8,2
32,106,17,C,4,484,59,2
0,0,0,C,0,1,0,0
30,87,17,C,0,427,67,1
1,7,0,C,0,21,2,0
8,27,3,C,0,142,16,0
3,5,0,C,0,54,6,0
7,37,4,C,0,156,24,1
8,30,2,C,0,123,23,1
2,18,1,C,0,77,5,0
16,78,9,C,3,348,46,0
0,3,0,C,0,22,1,0
8,38,6,C,1,176,27,3
15,91,3,C,1,291,39,4
1,2,0,C,0,8,2,0
7,34,1,C,0,184,17,1
13,44,5,C,1,251,33,4
8,31,2,C,1,98,17,0
19,96,5,C,1,324,33,4
11,50,9,C,0,188,19,2
4,25,1,C,0,104,12,1
2,17,1,C,0,46,5,0
16,80,2,C,0,268,30,1
7,45,2,C,1,129,21,2
29,70,3,C,4,341,71,5
11,42,8,C,2,196,30,1
4,16,0,C,0,55,6,0
6,19,5,C,0,130,14,2
15,69,12,C,2,385,38,5
0,4,0,C,0,14,2,0
