eFG%,Age,GS,AST%
.556,26-044,0,8.3
.500,25-310,0,5.4
.400,25-321,0,12.3
.500,25-323,0,19.7
.250,25-365,0,10.2
.000,26-032,0,0.0
.000,25-343,0,8.3
.800,25-335,0,16.2
.000,25-300,0,25.9
.308,25-298,0,9.4
.667,26-079,0,0.0
1.000,26-071,0,0.0
.556,25-355,0,6.6
 ,25-327,0,0.0
.400,26-084,0,18.0
1.000,25-339,0,20.7
.500,25-363,1,12.7
.500,26-035,0,0.0
.000,25-283,0,21.1
.125,25-342,0,7.1
.750,26-077,0,0.0
.200,25-329,0,7.3
 ,25-289,0,0.0
.800,25-293,0,0.0
.750,25-361,0,16.2
.000,25-308,0,0.0
.000,26-001,0,14.6
1.000,25-331,0,0.0
1.000,26-083,0,10.4
.333,26-070,0,0.0
 ,26-006,0,31.5
.688,25-352,0,4.2
.000,26-009,0,32.4
.000,25-304,0,0.0
.667,26-027,0,10.4
1.000,25-287,0,0.0
.667,26-081,0,0.0
.400,25-317,0,13.3
.000,25-345,0,10.9
.429,26-045,0,0.0
.000,26-060,0,0.0
