RBI,R,AB,AVG,SB,SO,Player,SF,G,BB
1,2,10,.500,0,3,R Brayton,0,4,2
3,3,5,.200,0,1,V Wells,0,2,2
2,6,57,.298,0,14,A Todd,0,16,0
50,67,521,.246,10,130,C Owings,4,121,15
4,4,30,.167,0,8,J Campos,1,13,2
10,17,77,.273,0,24,K Greene,1,22,13
74,78,340,.365,11,64,J Gyorko,2,81,38
1,2,14,.000,0,4,B Lane,0,5,1
3,6,7,.571,2,0,O Hudson,0,4,6
27,16,127,.291,2,28,J McOwen,7,33,7
68,54,437,.293,1,73,C Haerther,3,117,24
0,2,18,.111,0,5,H Rodriguez,0,6,1
10,11,60,.200,1,26,K Sams,0,20,3
2,4,21,.190,0,2,M Cusick,0,6,4
1,2,25,.280,0,8,T Morris,0,6,1
48,38,183,.311,0,33,D Flores,3,50,17
0,0,9,.111,1,2,Y Gonzalez,0,2,0
13,22,164,.256,11,28,E Mesa,1,53,15
10,8,77,.195,0,22,A Giobbi,1,25,5
63,66,396,.268,1,99,T Delmonico,5,111,57
0,2,8,.500,0,2,J Uribe,0,3,0
1,2,22,.318,0,6,J Johnston,0,8,3
17,30,158,.272,4,42,J Schlander,2,47,27
41,44,349,.287,6,33,R Perez,1,103,49
28,26,237,.270,1,42,C Mendez,0,64,18
33,31,227,.251,3,43,J Blackwood,2,60,18
82,79,467,.285,9,134,M Choice,4,118,61
22,19,109,.321,2,17,W Ortiz,1,30,22
0,0,0,--,0,0,A Griffin,0,1,1
34,42,296,.247,13,61,R Jean,2,88,10
50,40,306,.265,3,62,T Coleman,4,93,58
49,59,224,.366,4,59,M Zuanich,2,58,30
0,0,0,--,0,0,S Tolleson,0,1,0
34,38,213,.408,19,26,J Altuve,3,52,19
31,47,293,.225,25,75,W Olabisi,1,94,33
54,61,466,.275,13,69,R Ynoa,7,126,42
79,79,502,.287,36,75,B Greene,3,126,41
21,27,221,.208,4,61,J Karcich,1,75,20
6,9,49,.224,1,7,O Garcia,2,18,2
28,30,188,.303,8,25,D Gregorius,3,46,10
40,48,167,.371,4,24,E Campbell,4,46,27
1,2,8,.375,0,2,C Blake,0,2,0
2,8,56,.268,0,14,J Nunez,0,16,5
97,75,504,.268,18,161,D Almonte,5,128,22
50,54,298,.329,1,59,E Rincon,6,74,32
17,25,130,.331,4,23,D Lohman,0,39,13
3,4,19,.263,0,3,T LaTorre,0,6,3
54,50,293,.317,1,53,M Wing,2,73,17
9,5,41,.317,0,8,K Walton,1,11,6
0,0,0,--,0,0,W Musick,0,1,0
28,25,236,.212,7,63,C Martinez,3,78,19
0,0,4,.000,1,1,E Patterson,0,2,2
58,31,212,.302,0,49,H Sanchez,3,52,11
3,1,20,.200,0,5,R Willits,0,5,3
18,25,148,.311,2,22,D Anna,3,44,19
75,61,309,.330,2,76,D Raben,5,76,28
0,2,21,.238,0,6,R Velasquez,0,8,1
0,0,0,--,0,0,D Cooper,0,1,0
1,0,7,.143,0,2,R Gomez,0,2,1
45,84,510,.275,41,117,R Fuentes,1,124,44
29,42,296,.247,16,92,J Jones,1,83,42
1,3,18,.333,0,4,J Parks,0,7,3
75,71,492,.264,4,124,M Gilmartin,5,124,51
18,17,153,.255,3,33,C Tremblay,3,53,16
95,70,371,.334,7,80,K Matthes,1,93,22
21,19,119,.235,0,25,P Paramore,3,31,14
3,4,41,.244,0,11,B Haney,0,14,6
3,7,35,.229,3,12,A Phillips,0,14,10
10,6,54,.241,0,21,R van Heydoorn,0,19,4
114,110,534,.313,4,121,A Songco,5,131,42
71,91,460,.348,16,91,J Rutledge,2,113,41
42,47,342,.284,6,35,A Buchholz,5,92,27
61,81,486,.253,20,144,J Parker,1,127,74
54,63,425,.294,15,72,A Nina,5,112,29
57,117,482,.299,62,157,D Carroll,4,131,88
42,28,185,.303,3,33,S Proscia,1,44,4
28,28,181,.348,1,33,C Ramirez,2,52,16
10,7,77,.156,0,8,J Mier,0,21,4
47,74,456,.243,3,135,R Dixon,2,125,47
1,3,19,.211,0,1,J Kahaulelio,0,5,4
1,3,16,.188,0,6,S Baron,1,5,1
20,21,106,.274,0,26,B Seabury,1,31,7
44,69,406,.251,27,142,K Broxton,7,110,62
35,35,291,.271,1,54,J Jimenez,2,84,40
48,39,197,.259,3,38,T Denker,3,55,28
44,56,388,.281,9,68,J Fellhauer,0,99,46
62,73,390,.292,0,70,A Gallagher,5,111,62
1,1,11,.364,1,3,F Pfister,0,3,0
15,27,214,.210,2,47,J Gonzalez,2,69,24
86,84,488,.291,37,123,J Galvez,5,128,41
19,21,157,.248,7,40,M Cerione,0,48,19
2,0,5,.400,0,1,J Becker,0,1,0
2,4,8,.125,0,1,A Morales,0,2,2
15,14,59,.322,0,13,B Crawford,0,14,9
21,34,179,.274,3,74,D Christensen,2,57,15
1,2,28,.071,1,8,T Alliman,0,9,3
50,45,383,.266,4,108,G Noriega,1,105,18
25,34,200,.275,10,47,D Bailey,1,57,23
33,21,214,.229,0,66,J Clark,2,61,25
52,75,426,.268,24,85,C Crumbliss,5,120,96
73,104,481,.301,26,86,M Long,6,121,56
37,47,315,.257,17,73,J Austin,4,74,29
30,32,143,.336,10,19,A Jackson,3,35,15
20,52,276,.250,14,56,R Kiniry,2,73,35
19,19,143,.259,6,43,J Christian,2,40,11
27,15,128,.289,0,23,A Bailey,2,30,5
66,73,457,.276,2,123,A Aliotti,3,127,80
8,9,86,.244,2,31,P Phillips,1,25,10
1,3,54,.167,0,7,B Marcoe,0,18,1
1,4,46,.239,0,12,M Blackburn,0,17,8
25,63,386,.269,28,67,G Hogue,3,109,33
0,1,7,.143,0,3,R Broussard,0,6,1
6,3,22,.182,1,8,J Brossman,1,6,1
5,3,46,.261,1,17,K Lo,0,11,1
23,23,145,.262,0,41,B Heath,1,40,15
12,11,71,.324,3,12,J Marder,1,18,2
1,0,4,.250,0,2,R Aguila,0,1,0
0,0,4,.250,0,2,R Henriquez,0,1,0
6,9,43,.233,0,14,W Ramirez,0,14,4
75,85,526,.300,26,86,A Wates,6,132,47
19,35,178,.281,1,24,M Arrendell,0,50,20
4,2,29,.172,0,6,I Sumi,0,13,3
61,56,282,.351,8,45,V Catricala,4,71,33
2,5,36,.278,0,8,M Baxter,1,11,9
2,1,5,.600,0,0,G Blum,0,2,0
47,78,445,.279,52,97,R LaMarre,6,117,42
2,4,18,.389,0,2,R Barajas,0,4,1
27,30,159,.270,4,60,J Simmons,0,49,13
37,32,263,.259,1,81,E Castro,0,77,35
99,94,512,.324,20,96,K Calhoun,4,133,73
19,22,121,.231,1,22,M Stassi,0,31,16
55,86,479,.328,28,63,N Buss,3,115,27
0,0,8,.000,0,2,C Hannick,0,3,1
36,25,209,.234,0,83,A Younger,4,62,20
2,1,7,.143,0,1,J Rodriguez,0,3,0
92,93,516,.295,34,108,J Valdez,3,122,31
9,11,90,.189,3,38,J Hilt,1,29,14
0,2,28,.214,2,10,M Stokes,0,12,1
