AVG,3B,GIDP,SH,POS,OPS,CS
.231,2,3,1,LF,0.718,0
.299,6,4,6,CF,0.896,14
.218,3,4,0,CF,0.661,3
.210,0,4,8,C,0.54,2
.324,6,10,1,RF,0.957,10
.289,0,4,0,RF,0.746,0
.136,0,0,0,3B,0.356,0
.296,0,6,0,C,0.92,0
.322,1,1,1,SS,1.005,0
.247,0,5,4,DH,0.665,4
.233,0,8,0,3B,0.644,0
.276,1,11,1,1B,0.788,1
.214,0,0,0,LF,0.456,0
.255,0,2,0,RF,0.627,0
.211,0,0,0,3B,0.611,0
--,0,0,0,P,0.0,0
.571,0,0,0,2B,1.769,0
.262,1,10,1,1B,0.741,3
.292,1,22,4,OF,0.782,10
.300,5,15,1,2B,0.791,5
.250,5,5,4,OF,0.672,8
.236,0,0,0,OF,0.861,1
.248,4,9,4,2B,0.667,4
.247,4,5,1,RF,0.725,3
.289,6,3,2,2B,0.789,4
.462,0,0,0,LF,1.15,0
.333,1,3,0,1B,0.917,0
.281,2,5,3,DH,0.689,0
.300,3,3,1,SS,0.845,1
.408,7,5,3,2B,1.057,9
.111,0,0,0,C,0.222,0
.336,13,6,6,CF,0.925,19
.259,2,6,0,3B,0.9,0
.208,1,8,1,3B,0.586,3
.474,1,0,1,C,1.629,0
.400,0,0,0,3B,1.1,0
.270,2,18,1,C,0.787,0
.366,2,3,1,1B,1.129,3
.241,0,0,0,3B,0.701,0
.330,3,11,1,1B,0.986,1
.143,0,0,0,SS,0.536,0
.000,0,1,1,OF,0.067,0
.250,0,0,0,C,0.5,0
.225,4,6,8,RF,0.658,5
.287,0,8,3,C,0.72,1
.268,1,2,1,RF,0.707,0
--,0,0,0,P,0.0,0
.200,0,0,0,SS,0.4,0
.000,0,0,0,C,0.0,0
.245,1,1,5,LF,0.646,1
.268,2,7,3,3B,0.811,2
.302,0,4,0,C,0.944,1
.255,0,3,3,2B,0.581,2
.111,0,1,0,3B,0.325,0
.250,0,0,0,2B,0.65,0
.275,9,1,9,CF,0.711,14
.298,0,2,1,SS,0.731,0
.143,0,0,0,SS,0.393,0
.167,0,0,1,3B,0.379,0
.336,3,1,6,CF,0.878,5
--,0,0,0,P,0.0,0
.235,4,11,8,CF,0.634,16
.200,1,2,0,OF,0.821,1
.329,1,2,0,3B,0.891,1
.239,0,2,0,2B,0.634,0
.210,2,0,1,CF,0.583,1
.260,0,3,1,LF,0.732,0
.294,0,8,0,RF,0.898,2
.333,0,0,0,LF,1.137,0
.242,2,12,6,C,0.591,2
--,0,0,0,P,0.0,0
.275,3,14,9,2B,0.697,11
.279,3,8,2,OF,0.718,14
.281,4,4,0,SS,0.758,6
.298,3,21,4,3B,0.836,1
.332,3,2,0,CF,0.947,8
.348,0,1,0,C,0.933,0
