STL%,TRB%,ORB%
0.0,0.0,0.0
0.0,13.8,10.4
4.4,23.0,25.2
1.3,9.6,14.8
0.0,5.9,0.0
0.0,4.5,7.9
0.0,23.9,0.0
5.5,6.3,0.0
0.0,14.3,9.0
0.0,0.0,0.0
0.0,12.6,9.8
0.0,41.0,45.7
0.0,16.0,0.0
0.0,8.6,0.0
0.0,27.9,23.7
2.6,15.2,6.5
0.0,7.9,0.0
9.3,4.9,0.0
0.0,14.5,21.8
0.0,8.8,0.0
3.2,0.0,0.0
0.0,13.0,27.9
4.6,18.3,0.0
0.0,6.1,5.9
2.6,11.4,13.0
0.0,14.6,18.7
3.9,12.6,10.0
0.0,0.0,0.0
7.1,13.3,9.4
0.0,7.9,0.0
0.0,16.2,11.3
3.7,12.6,0.0
3.7,4.1,0.0
0.0,13.3,0.0
0.0,19.8,17.4
0.0,8.2,7.0
5.0,12.2,0.0
0.0,5.5,0.0
