MPG,FG%,FTA
21.2,0.421,4.4
19.2,0.437,1.3
16.4,0.345,0.9
30.0,0.468,4.5
17.2,0.443,0.6
20.3,0.47,1.5
29.0,0.468,3.6
16.9,0.514,2.2
31.1,0.415,3.4
21.3,0.449,2.0
23.4,0.503,3.6
28.2,0.458,2.1
24.6,0.397,1.0
20.5,0.362,1.2
24.5,0.438,1.8
26.5,0.53,3.5
21.5,0.448,2.8
25.0,0.408,2.4
25.1,0.431,2.1
23.1,0.401,3.2
23.3,0.438,3.2
21.1,0.438,2.4
18.6,0.451,1.8
27.5,0.431,3.1
20.2,0.413,1.5
28.9,0.428,4.3
29.9,0.428,2.1
31.5,0.549,2.8
15.4,0.433,0.9
26.9,0.393,1.4
20.9,0.438,1.7
18.1,0.416,0.7
25.0,0.543,3.7
29.0,0.447,2.5
19.0,0.49,2.6
20.4,0.536,2.9
20.5,0.44,1.1
25.6,0.499,1.9
18.5,0.411,0.9
23.4,0.427,2.2
23.6,0.323,0.5
22.7,0.345,1.0
25.3,0.49,2.4
19.8,0.358,2.0
24.2,0.474,2.9
20.5,0.312,1.6
25.8,0.435,3.5
23.6,0.38,1.6
27.1,0.446,1.3
26.6,0.494,3.2
17.7,0.418,1.7
21.5,0.397,1.6
15.7,0.505,1.7
22.9,0.486,2.9
17.5,0.503,0.9
21.8,0.5,1.0
24.5,0.484,2.9
24.2,0.504,1.3
22.5,0.387,2.2
18.9,0.377,0.2
18.8,0.452,1.3
