AB,Pos,SF,RBI,Team,AVG,SO
18,SS,0,1,TOR,0.167,2
385,SS,4,35,LAA,0.278,51
404,3B,3,56,BAL,0.292,69
57,C,0,3,NYM,0.123,24
38,C,0,1,SEA,0.079,8
285,2B,1,23,OAK,0.246,39
282,SS,1,35,PIT,0.294,63
392,OF,1,71,DET,0.288,118
347,1B,1,36,SEA,0.222,61
72,2B,0,3,TB,0.139,24
12,OF,0,1,HOU,0.25,5
11,OF,0,0,BAL,0.182,2
11,1B,0,1,STL,0.182,1
323,SS,3,53,COL,0.3,72
242,OF,3,21,HOU,0.231,72
417,2B,2,47,DET,0.297,62
133,OF,1,22,CLE,0.271,34
399,SS,3,44,CHC,0.236,72
81,3B,1,6,LAD,0.247,9
405,OF,0,66,SEA,0.321,97
357,C,4,38,STL,0.286,48
21,OF,0,3,NYY,0.286,3
241,C,1,25,DET,0.282,53
373,3B,2,55,MIN,0.255,74
153,SS,2,21,CIN,0.301,40
128,C,1,13,ARI,0.211,23
392,3B,6,80,COL,0.278,61
10,2B,0,0,PIT,0.0,4
383,1B,4,44,MIN,0.269,70
33,C,0,4,ATL,0.273,5
108,3B,2,16,MIL,0.213,26
41,SS,0,5,TEX,0.195,16
77,OF,0,5,ATL,0.169,17
207,OF,3,31,STL,0.29,44
183,C,0,22,COL,0.273,44
339,OF,1,19,TB,0.242,69
323,3B,0,40,SD,0.266,39
210,OF,1,16,OAK,0.21,42
231,OF,0,28,HOU,0.264,49
273,SS,2,19,PIT,0.242,48
25,3B,0,2,NYM,0.2,6
123,OF,4,12,WAS,0.203,31
144,1B,0,17,NYY,0.215,37
40,2B,0,2,ATL,0.325,5
380,3B,4,43,NYY,0.276,84
9,2B,0,1,BOS,0.333,2
272,1B,3,36,DET,0.246,34
147,C,1,12,MIL,0.184,42
156,2B,0,6,PIT,0.212,43
305,3B,3,51,PIT,0.233,85
32,1B,0,5,SD,0.313,10
10,OF,1,1,TOR,0.0,0
72,C,0,13,CHC,0.333,22
346,3B,5,61,CHC,0.246,126
379,SS,6,38,CWS,0.237,46
61,OF,1,8,SEA,0.262,18
372,2B,2,42,PIT,0.272,79
387,2B,3,44,STL,0.271,65
10,SS,0,2,OAK,0.2,1
30,OF,1,7,CLE,0.333,9
141,OF,0,9,CIN,0.22,27
48,C,0,12,DET,0.271,10
176,OF,1,24,BAL,0.227,45
73,OF,0,7,LAA,0.288,7
133,C,2,16,CLE,0.226,49
6,2B,0,0,CHC,0.167,1
403,3B,4,67,CIN,0.268,78
126,SS,0,7,MIL,0.183,40
346,1B,3,47,CLE,0.228,77
370,OF,6,66,PIT,0.289,80
201,OF,1,23,MIL,0.229,62
54,OF,0,7,DET,0.259,13
52,OF,0,2,BOS,0.135,17
143,C,1,23,OAK,0.266,28
234,SS,3,31,MIN,0.239,56
165,OF,1,11,STL,0.224,45
193,3B,2,20,CLE,0.218,37
77,1B,0,5,LAA,0.26,14
319,1B,1,40,BOS,0.207,95
361,2B,6,37,LAA,0.263,49
17,3B,0,2,NYM,0.235,4
243,OF,1,38,STL,0.288,80
256,OF,0,25,SD,0.25,70
333,1B,2,36,CWS,0.219,113
19,1B,0,2,STL,0.158,4
38,OF,1,2,OAK,0.079,13
5,SS,0,1,TOR,0.0,1
303,2B,3,34,BOS,0.287,41
376,1B,1,61,LAD,0.293,64
21,C,0,0,MIL,0.048,7
35,1B,0,8,PIT,0.229,11
89,3B,0,7,MIL,0.236,17
416,3B,5,77,TOR,0.293,89
38,OF,0,4,ATL,0.237,10
95,SS,1,7,HOU,0.263,27
12,OF,0,0,SEA,0.0,6
19,C,0,1,ARI,0.158,12
66,C,2,8,ARI,0.242,14
392,OF,3,39,TOR,0.268,60
127,C,0,19,CWS,0.244,42
63,OF,0,3,LAD,0.206,14
68,OF,0,3,NYM,0.206,25
101,1B,1,8,CLE,0.198,24
95,SS,1,9,DET,0.284,27
190,1B,2,19,OAK,0.237,36
274,OF,3,38,HOU,0.237,99
354,DH,3,59,BOS,0.246,63
209,OF,1,26,LAD,0.249,49
244,C,3,29,HOU,0.225,75
277,1B,1,54,DET,0.35,55
92,3B,0,2,CIN,0.141,23
83,OF,0,6,TOR,0.193,22
91,2B,0,6,LAD,0.242,19
364,SS,4,67,SF,0.266,84
63,OF,1,2,TB,0.222,9
32,OF,0,0,NYY,0.219,4
366,OF,0,26,PHI,0.298,36
79,OF,0,12,NYM,0.203,27
395,OF,3,58,LAA,0.281,94
76,OF,1,7,MIA,0.263,13
251,SS,2,19,NYM,0.251,49
152,OF,0,17,KC,0.237,30
10,SS,0,1,MIN,0.3,1
358,3B,4,50,DET,0.237,98
215,2B,3,27,TOR,0.228,43
305,3B,2,22,PIT,0.279,48
354,SS,4,51,BOS,0.266,60
112,C,0,9,BOS,0.241,21
5,OF,0,0,BOS,0.2,1
57,OF,0,2,CHC,0.246,14
69,SS,0,4,SEA,0.159,13
379,2B,0,42,COL,0.322,73
58,3B,0,4,SF,0.207,12
353,OF,2,58,OAK,0.283,39
253,C,1,41,LAD,0.292,60
15,C,0,2,CHC,0.2,4
91,SS,0,11,PHI,0.286,14
32,OF,0,5,TB,0.188,10
384,1B,2,58,KC,0.315,71
127,3B,0,11,SF,0.213,28
397,SS,4,54,STL,0.285,75
198,C,3,20,CLE,0.227,57
49,OF,0,0,OAK,0.082,10
222,OF,0,22,TB,0.284,70
97,1B,0,9,BAL,0.216,26
353,OF,2,47,ATL,0.269,66
48,3B,0,4,MIA,0.208,6
253,C,3,23,MIL,0.249,38
287,OF,1,25,TEX,0.22,68
361,C,5,73,SF,0.327,33
141,SS,3,16,TB,0.206,25
5,1B,0,0,SF,0.0,3
146,OF,0,18,COL,0.315,35
28,3B,0,6,DET,0.25,8
292,1B,1,45,ATL,0.284,69
214,C,1,18,PHI,0.22,32
319,OF,0,26,MIA,0.27,75
301,C,5,61,NYY,0.252,65
258,OF,3,39,KC,0.279,63
44,OF,0,3,STL,0.182,9
150,C,1,10,PHI,0.227,48
41,3B,0,3,TOR,0.268,9
64,OF,0,8,MIN,0.156,21
363,1B,1,51,CIN,0.309,79
95,OF,0,10,COL,0.211,47
281,OF,3,28,SEA,0.253,70
344,OF,3,24,CIN,0.227,60
7,SS,0,0,DET,0.143,1
5,SS,0,0,KC,0.0,3
213,2B,0,19,MIL,0.249,41
74,2B,0,3,CWS,0.27,17
77,OF,0,7,TEX,0.208,31
206,OF,2,33,PHI,0.272,41
324,OF,1,27,SEA,0.253,78
162,3B,1,29,TOR,0.296,40
250,OF,1,24,MIN,0.28,62
189,2B,2,22,BAL,0.217,56
364,3B,3,52,STL,0.261,81
93,2B,0,14,CIN,0.29,20
98,2B,1,9,MIA,0.245,26
349,OF,4,53,COL,0.281,79
217,2B,1,35,TOR,0.304,43
183,OF,2,18,MIN,0.279,35
159,DH,0,15,MIN,0.245,48
6,SS,0,0,OAK,0.0,5
186,OF,3,19,SEA,0.215,38
61,OF,0,2,LAA,0.18,16
12,2B,0,2,NYY,0.167,2
372,OF,2,49,NYY,0.288,85
210,2B,3,24,ARI,0.214,37
127,C,0,21,ARI,0.291,40
365,SS,1,33,LAD,0.216,55
107,C,2,15,TEX,0.178,40
146,3B,1,11,ATL,0.24,44
388,1B,0,64,CWS,0.299,86
221,OF,3,20,SF,0.29,46
12,OF,0,4,NYM,0.333,1
286,C,1,37,COL,0.301,61
324,SS,1,25,TB,0.238,76
155,OF,0,31,SF,0.29,36
217,C,2,32,CHC,0.23,64
367,1B,4,47,OAK,0.243,68
388,OF,4,48,BOS,0.265,51
