Pos.,Atleta,Nazione,Totale,100m,Lungo,Peso,Alto,400m,110hs,Disco,Asta,Giav.,1500m
 ,Paavo Yrjölä,Finlandia,"8053,290","714,4","784,40",877,916,"812,00",848,"881,44",649,"854,250","716,8"
 ,Akilles Järvinen[1],Finlandia,"7931,500","857,2","821,15",830,748,"879,68",943,"686,12",649,"850,950","666,4"
 ,John Doherty,Stati Uniti d'America,"7706,650","762,0","757,45",651,818,"857,12",924,"753,38",649,"877,900","656,8"
4,James Stewart,Stati Uniti d'America,"7624,135","857,2","757,45",770,916,"827,04",848,"836,22",649,"644,425","518,8"
5,Tom Churchill,Stati Uniti d'America,"7417,115","762,0","686,40",694,678,"849,60",829,"733,24",811,"723,075","650,8"
6,Helge Jansson,Svezia,"7286,285","809,6","816,25",825,916,"812,00",848,"681,56",649,"470,075","458,8"
7,Ludwig Wessely,Austria,"7274,850","762,0","786,85",724,678,"849,60",924,"629,50",595,"627,100","698,8"
8,Albert Andersson,Svezia,"7108,435","666,8","681,50",685,748,"781,92",924,"674,34",649,"582,275","715,6"
9,Henry Lindblad,Svezia,"7071,425","666,8","845,65",670,678,"789,44",810,"632,16",811,"686,775","481,6"
10,Wilhelm Ladewig,Germania,"6881,520","714,4","786,85",562,818,"842,08",848,"450,14",541,"590,250","728,8"
11,Hugo Barth,Germania,"6850,605","666,8","821,15",600,608,"827,04",867,"607,84",487,"772,575","593,2"
12,Tatsuo Toki,Giappone,"6757,605","762,0","828,50",569,748,"766,88",829,"574,40",541,"582,825","556,0"
13,Johan Meimer,Estonia,"6733,150","762,0","713,35",586,748,"744,32",658,"624,18",487,"886,700","523,6"
14,Sven Lundgren,Svezia,"6727,045","714,4","730,50",542,398,"842,08",886,"613,54",649,"579,525","772,0"
15,Erwin Huber,Germania,"6702,820","714,4","801,55",658,538,"751,84",829,"538,68",595,"571,550","704,8"
16,Martti Tolamo,Finlandia,"6642,115","666,8","777,05",597,678,"842,08",715,"531,46",541,"581,725","712,0"
17,Barney Berlinger,Stati Uniti d'America,"6619,375","762,0","600,65",771,748,"699,20",791,"517,40",811,"649,925","269,2"
18,Antoni Cejzik,Polonia,"6356,280","619,2","588,40",677,678,"819,52",677,"780,36",433,"531,400","552,4"
19,Hermann Lemperle,Germania,"6293,755","762,0","730,50",762,608,"827,04",734,"687,64",0,"451,375","731,2"
20,Stelios Benardis,Grecia,"6149,910","666,8","698,65",569,608,"684,16",715,"475,60",649,"545,700","538,0"
21,Mátyás Farkas,Ungheria,"6015,635","762,0","759,90",644,608,"849,60",753,"643,56",487,"508,575",0
22,Yonetaro Nakazawa,Giappone,"5672,175","571,6","617,80",503,748,"488,64",677,"476,36",865,"431,575","293,2"
23,Gaston Étienne,Belgio,"5256,625","428,8","487,95",431,398,"548,80",449,"414,80",595,"830,875","672,4"
24,Branko Kallay,Jugoslavia,"5210,650","762,0",0,453,678,"646,56",829,"507,14",487,"531,950","316,0"
25,René Joannes-Powell,Belgio,"5190,650","619,2","615,35",449,398,"714,24",829,"297,76",541,"217,900","509,2"
26,Gheorghe Csegezi,Romania,"5081,605","714,4","610,45",411,538,"721,76",525,"277,62",487,"198,375","598,0"
27,Gérard Noël,Belgio,"4606,740","571,6","534,50",461,678,"631,52",582,"441,02",487,"220,100",0
 , , , , , , , , , , , , , 
-,Con O'Callaghan,Irlanda,"4561,440","714,4","676,60",573,678,"699,20",734,"486,24",0,DNS,-
-,Howard Ford,Gran Bretagna,"4418,570","476,4","625,15",677,538,"563,84",468,"529,18",541,DNS,-
-,Edmond Médécin,Principato di Monaco,"4189,460","666,8","720,70",633,398,"796,96",525,"449,00",0,DNS,-
-,Adolf Meier,Svizzera,"5069,330","809,6","826,05",681,608,"744,32",848,"552,36",DNS,-,-
-,Johannes Viljoen,Sudafrica,"5026,690","904,8","816,25",483,678,"819,52",943,"382,12",DNS,-,-
-,Ion Haidu,Romania,"3766,820","619,2","544,30",517,538,"578,88",487,"482,44",DNS,-,-
-,Gunnar Fredriksen,Norvegia,"3446,890","714,4","718,25",622,678,"714,24",DNS,-,-,-,-
-,Gunnar Hagen,Norvegia,"3324,230","666,8","595,75",622,748,"691,68",DNS,-,-,-,-
-,George Weightman-Smith,Sudafrica,"2539,300","809,6","671,70",520,538,DNS,-,-,-,-,-
-,Armas Wahlstedt,Finlandia,"1288,100","714,4","573,70",DNS,-,-,-,-,-,-,-
-,Virgil Ioan,Romania,"571,600","571,6",DNS,-,-,-,-,-,-,-,-
