POS,Team,AB,2B,OPS
2B,REY,253,8,0.621
SS,MVA,197,9,0.769
2B,SAL,117,6,0.862
SS,PUE,323,21,0.703
2B,CAM,205,9,0.703
2B,OAX,259,12,0.772
2B,YUC,355,22,0.765
2B,TIG,409,19,0.757
SS,TIG,279,10,0.763
SS,CAM,287,10,0.677
SS,REY,60,1,0.467
2B,MVA,347,28,0.766
2B,LAG,179,11,0.7
SS,YUC,8,0,0.5
2B,SAL,380,13,0.949
2B,REY,117,10,0.872
2B,MVA,15,0,0.321
2B,CAM,139,7,0.719
SS,VER,49,1,0.364
SS,OAX,56,1,0.686
SS,REY,340,11,0.755
2B,TIG,18,0,0.222
SS,OAX,239,13,0.64
2B,MTY,146,4,0.802
2B,YUC,118,3,0.554
2B,SAL,57,3,0.883
2B,MIN,366,13,0.63
2B,MTY,43,1,0.382
SS,MTY,168,14,0.758
2B,MTY,277,13,0.693
2B,LAG,182,14,0.859
2B,TAB,435,16,0.862
