Player,3PA,BPG,Team,#,PF,FG%
Bryan Smith,4.8,0.4,FORD,64,3.2,0.346
Denzel Ingram,2.6,0.0,CHAR,90,2.0,0.37
Chris Wilson,2.7,0.1,SJU,79,1.1,0.374
Kevin Dillard,4.5,0.1,DAY,6,2.1,0.405
Maxie Esho,0.4,1.2,UMass,92,1.8,0.433
Devin Oliver,1.7,0.2,DAY,52,2.7,0.468
Semaj Christon,0.9,0.1,XAV,7,2.7,0.444
Joe McDonald,1.1,0.0,GW,69,2.3,0.396
Jeff Robinson,0.8,0.4,XAV,78,2.3,0.468
Ryan Canty,0.0,0.9,FORD,86,3.2,0.551
Briante Weber,1.1,0.2,VCU,93,2.3,0.421
Sean Johnson,3.4,0.3,DUQ,29,2.1,0.364
Dee Davis,3.4,0.0,XAV,61,2.8,0.395
Scootie Randall,5.7,0.2,TEM,30,2.0,0.381
Nikola Malesevic,3.6,0.5,URI,39,3.4,0.382
C.J. Aiken,2.7,2.6,SJU,36,1.9,0.496
Will Cummings,1.6,0.3,TEM,88,2.4,0.386
Jake O'Brien,4.0,0.8,TEM,48,2.3,0.489
Roosevelt Jones,0.0,0.5,BU,40,2.8,0.485
Steve Zack,0.0,1.3,LU,80,2.7,0.545
Derrick Colter,5.3,0.2,DUQ,17,2.0,0.376
Bryan Bynes,1.1,0.1,GW,99,1.5,0.306
Travion Leonard,0.0,0.5,FORD,82,2.6,0.472
Ramon Galloway,6.7,0.5,LU,3,2.4,0.419
Tyreek Duren,3.6,0.4,LU,12,1.9,0.455
Cody Ellis,5.3,0.3,SLU,41,1.8,0.332
Willie Clayton,0.0,0.5,CHAR,57,2.7,0.579
Kameron Woods,0.1,0.7,BU,97,1.8,0.547
Chris Braswell,1.6,0.8,CHAR,27,2.6,0.465
Andre Malone,4.5,0.2,URI,37,2.6,0.409
Jeremiah Jones,3.0,0.0,DUQ,70,1.9,0.384
