RBI,BB,Team,HR
14,19,FW,5
0,0,WM,0
0,5,SB,0
37,22,WIS,6
20,49,LC,4
43,17,FW,9
28,15,QC,2
6,5,QC,2
23,33,DAY,2
18,9,BEL,5
65,32,CLI,16
29,43,QC,4
49,38,BG,1
40,34,CLI,10
10,13,WIS,0
53,21,WIS,7
26,25,LC,0
0,8,KC,0
13,6,CR,2
42,29,QC,8
37,13,PEO,3
17,14,WM,6
24,21,LAN,3
2,1,BEL,0
29,18,DAY,0
76,45,WM,7
20,17,CLI,4
47,31,BUR,6
10,12,SB,1
65,16,WM,16
11,12,BEL,2
6,5,QC,1
29,23,CLI,4
29,22,LAN,4
39,12,WM,13
40,25,DAY,7
16,23,KC,0
81,38,BG,22
10,27,PEO,0
1,1,FW,0
2,5,CLI,0
7,7,QC,3
19,41,WM,5
35,39,LC,3
71,34,DAY,16
0,0,QC,0
0,1,WIS,0
31,17,DAY,1
45,37,GL,12
42,34,KC,3
34,28,BEL,4
27,11,FW,3
72,60,WIS,15
3,3,WM,1
44,86,BG,6
41,25,BEL,7
14,13,WM,2
26,20,PEO,2
1,0,FW,0
1,6,CR,0
9,7,BEL,2
30,14,SB,7
6,3,WIS,0
1,7,GL,0
5,3,WM,0
50,42,FW,5
14,8,KC,3
4,2,LAN,0
13,38,CLI,3
34,27,QC,1
28,46,WM,0
55,44,LAN,14
59,37,BUR,14
0,1,LC,0
0,0,WM,0
3,5,CR,0
24,8,LAN,5
5,4,WIS,1
44,37,GL,7
1,0,DAY,0
69,35,LC,19
1,1,PEO,0
6,2,LC,1
50,36,SB,2
43,53,FW,2
25,47,SB,1
23,19,BEL,2
25,21,QC,5
12,15,CR,3
28,49,PEO,2
19,14,GL,3
7,10,DAY,0
2,4,FW,0
29,14,BG,3
