AST%,DRB%,BLK%,USG%,Age,Rk,GS,eFG%
15.2,0.0,3.1,10.0,23-088,52,0,.750
0.0,0.0,0.0,35.6,23-093,54,0,.286
0.0,15.8,0.0,19.9,23-082,49,0,.600
0.0,0.0,0.0,9.7,22-344,20,0,.000
0.0,0.0,0.0,54.5,23-042,32,0,.750
12.6,0.0,0.0,17.5,23-087,51,0,.250
0.0,0.0,3.7,21.6,22-322,10,0,.500
16.7,0.0,3.5,18.6,23-094,55,0,.500
0.0,0.0,0.0,0.0,23-040,31,0, 
0.0,8.0,0.0,20.6,23-105,60,0,.600
0.0,0.0,8.5,24.1,22-352,24,0,.250
0.0,0.0,0.0,39.6,23-018,26,0,.000
0.0,8.6,0.0,23.5,23-091,53,0,.250
54.5,0.0,0.0,41.3,23-052,35,0,.571
29.9,11.3,2.8,14.6,23-077,47,0,.667
36.4,22.2,0.0,62.6,23-038,30,0,.200
0.0,0.0,0.0,31.6,23-051,34,0,.000
0.0,0.0,0.0,38.0,23-016,25,0,1.000
0.0,17.4,0.0,38.8,23-098,57,0,.333
0.0,0.0,0.0,40.4,22-342,19,1,.000
29.4,9.1,0.0,13.8,23-102,58,0,.400
0.0,0.0,0.0,0.0,23-068,42,0, 
