#,Team,GP,W,Wot,T,Lot,L,GF,GA,Diff,Pts,Pts/G,W%,GF(avg),GA(avg)
1.0,Pardubice,26,13,0,5,2,6,76,60,16,46,1.77,50%,2.92,2.31
2.0,Sparta Prague,26,11,1,1,0,13,63,62,1,36,1.38,46%,2.42,2.38
3.0,Znojmo,26,10,2,2,0,12,69,79,-10,36,1.38,46%,2.65,3.04
4.0,Zlín,26,9,2,1,0,14,60,83,-23,32,1.23,42%,2.31,3.19
5.0,Slavia Prague,26,7,2,3,1,13,56,67,-11,29,1.12,35%,2.15,2.58
6.0,Vítkovice,26,5,3,5,2,11,57,74,-17,28,1.08,31%,2.19,2.85
7.0,Třinec,26,6,1,2,0,17,71,95,-24,22,0.85,27%,2.73,3.65
8.0,Liberec,26,5,0,4,3,14,54,86,-32,22,0.85,19%,2.08,3.31
9.0,Plzeň,26,5,1,3,1,16,49,78,-29,21,0.81,23%,1.88,3.0
10.0,Vsetín,26,3,4,3,0,16,50,71,-21,20,0.77,27%,1.92,2.73
11.0,Litvínov,26,4,1,5,1,15,50,86,-36,20,0.77,19%,1.92,3.31
12.0,Karlovy Vary,26,4,1,4,1,16,51,90,-39,19,0.73,19%,1.96,3.46
13.0,Kladno,26,3,3,3,1,16,43,95,-52,19,0.73,23%,1.65,3.65
14.0,České Budějovice,26,3,1,0,1,21,47,96,-49,12,0.46,15%,1.81,3.69
