Age,Acquired,oWAR,Rpos,WAR,Rbat,RAR,PA,Name,Rrep
33,Free Agency,1.8,-6,0.9,12,9,335,Greg Norton#,13
30,Amateur Draft,-0.3,4,-0.6,-13,-6,234,Toby Hall,9
25,Amateur Draft,0.0,0,0.0,0,0,0,Doug Waechter,0
26,Free Agency,0.0,0,0.0,0,0,0,Ruddy Lugo,0
31,Traded,0.4,3,0.2,-3,1,165,Josh Paul,6
30,Free Agency,-0.1,0,-0.1,-1,-0,2,Luis Ordaz,0
28,Waivers,0.0,0,0.0,0,0,0,Scott Dunn,0
20,Amateur Draft,0.6,-1,0.9,2,9,131,Delmon Young,5
27,Traded,-0.7,0,-0.6,-7,-6,45,Nick Green,2
22,Traded,-0.0,1,-0.0,-1,-0,3,Scott Kazmir*,0
26,Amateur Draft,0.0,0,0.0,0,0,0,Jon Switzer*,0
25,Amateur Draft,0.0,0,0.0,-1,0,2,Seth McClung*,0
22,Traded,0.0,0,0.0,0,0,0,Edwin Jackson,0
27.2, ,12.7,-4,9.4,-104,92,6041,Team Total,224
32,Free Agency,-0.3,-4,-0.0,-13,-1,355,Damon Hollins,13
22,Traded,0.2,3,-0.1,-9,-1,216,Dioner Navarro#,8
29,Traded,-0.0,0,-0.0,-1,-0,2,Jae Weong Seo,0
25,Traded,-0.0,0,-0.0,-2,-0,25,Sean Burroughs*,1
30,Free Agency,0.4,-2,0.8,-3,8,193,Russell Branyan*,7
24,Amateur Draft,0.1,1,0.1,-0,1,8,James Shields,0
31,Free Agency,-0.5,-6,-0.1,-14,-2,388,Travis Lee*,15
30,Free Agency,0.0,0,0.0,0,0,0,Shawn Camp,0
