Player,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
Ned Grabavoy,M,33,30,2711,2,3,28,10,2,0/0,2,0,0.07,7.1
Nat Borchers,D,32,32,2856,1,0,12,3,0,0/0,0,1,0.03,8.3
Luke Mulholland,M,31,24,1987,6,7,41,13,1,0/0,3,3,0.27,14.6
Chris Wingert,D,30,30,2537,0,3,8,2,0,0/0,0,0,0.0,0.0
Javier Morales,M,30,30,2645,9,12,64,19,3,4/4,3,6,0.31,14.1
Tony Beltran,D,29,28,2483,0,0,7,0,0,0/0,0,0,0.0,0.0
Kyle Beckerman,M,28,28,2520,3,3,49,21,0,0/0,1,2,0.11,6.1
Joao Plata,M-F,26,24,1985,13,6,56,32,4,1/1,8,5,0.59,23.2
Luis Gil,M,26,16,1386,2,2,20,6,0,0/0,1,1,0.13,10.0
Chris Schuler,D,25,25,2154,3,1,14,6,0,0/0,3,0,0.13,21.4
Nick Rimando,GK,24,24,2160,0,0,0,0,0,0/0,0,0,0.0,0.0
Olmes Garcia,F,23,12,1191,3,0,31,12,1,0/0,2,1,0.23,9.7
Cole Grossman,M,17,5,532,0,0,2,0,0,0/0,0,0,0.0,0.0
Alvaro Saborio,F,16,13,1148,8,2,47,18,4,2/3,6,2,0.63,17.0
Robbie Findley,F,16,8,764,1,0,24,9,0,0/0,1,0,0.12,4.2
Devon Sandoval,F,15,7,633,0,1,9,3,0,0/0,0,0,0.0,0.0
Carlos Salcedo,D,12,8,800,1,0,4,2,0,0/0,1,0,0.11,25.0
Abdoulie Mansally,D,11,6,655,0,1,5,2,0,0/0,0,0,0.0,0.0
Jeff Attinella,GK,10,10,900,0,0,1,0,0,0/0,0,0,0.0,0.0
Sebastian Velasquez,M,10,1,222,1,2,4,2,0,0/0,1,0,0.41,25.0
John Stertzer,M,9,3,273,0,0,3,0,0,0/0,0,0,0.0,0.0
Aaron Maund,D,6,5,432,0,0,3,1,0,0/0,0,0,0.0,0.0
Sebastian Jaime,F,6,3,261,0,0,8,5,0,0/0,0,0,0.0,0.0
Rich Balchan,D,4,2,233,0,0,1,0,0,0/0,0,0,0.0,0.0
Jordan Allen,M-F,2,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0
