Tm,TOV%,STL%,AST%,TRB%,Rk,TS%,Age,DRB%
CHH,17.4,0.0,7.2,17.8,70,.630,42-228,23.4
CHH,33.3,3.9,22.1,3.9,3,.000,42-072,0.0
CHH,20.0,0.0,10.5,8.7,49,.250,42-186,7.6
CHH,14.3,0.0,4.1,22.1,64,.333,42-216,31.4
CHH,40.0,2.7,12.5,15.7,5,.333,42-076,24.7
CHH,0.0,3.2,0.0,15.4,44,.806,42-172,25.6
CHH,42.9,0.0,6.4,7.2,53,.500,42-196,13.4
CHH,0.0,0.0,19.4,14.5,28,.129,42-132,15.0
CHH, ,0.0,0.0,0.0,16, ,42-101,0.0
CHH,0.0,0.0,0.0,26.0,9,.694,42-084,50.8
CHH,0.0,2.0,0.0,12.6,66,.628,42-219,21.9
CHH,33.3,0.0,0.0,19.1,40,1.000,42-162,36.2
CHH, ,0.0,0.0,0.0,30, ,42-136,0.0
CHH,50.0,0.0,0.0,0.0,17,1.000,42-103,0.0
CHH,0.0,0.0,0.0,12.5,63,.680,42-214,15.8
CHH, ,0.0,0.0,20.8,22, ,42-113,42.1
CHH, ,0.0,0.0,16.2,32, ,42-142,13.0
CHH, ,0.0,0.0,7.8,10, ,42-088,16.7
CHH,12.5,0.0,6.7,25.9,1,.429,42-065,36.4
CHH, ,0.0,0.0,25.2,12, ,42-093,56.4
CHH, ,0.0,0.0,0.0,11, ,42-091,0.0
CHH, ,0.0,0.0,0.0,43, ,42-170,0.0
CHH,25.8,0.0,0.0,15.0,51,.521,42-190,28.6
CHH,0.0,0.0,0.0,12.9,23,.667,42-115,23.9
CHH,0.0,5.3,0.0,21.5,15,.788,42-100,32.0
CHH, ,0.0,0.0,0.0,31, ,42-140,0.0
CHH, ,0.0,0.0,0.0,36, ,42-152,0.0
