Rbaser,RAR,Rdp,Acquired,Rpos,Rrep,RAA,G,Age,Rfield
1,5,0,Free Agency,-2,8,-3,104,35,1
-0,6,0,Amateur Draft,10,0,6,33,25,0
0,0,0,Waivers,0,0,0,2,26,0
-0,0,0,Free Agency,9,0,0,33,34,0
0,-0,0,Amateur Draft,0,0,-0,1,25,0
-1,33,-1,Amateur Draft,-5,17,16,130,29,-1
0,0,0,Free Agency,0,0,0,52,38,0
0,0,0,Free Agency,0,0,0,14,32,0
-0,-3,-0,Amateur Draft,-0,1,-4,10,25,1
0,0,0,Free Agency,-0,1,-1,16,28,0
0,1,0,Traded,8,0,1,29,27,0
-0,2,0,Waivers,2,0,2,43,27,0
0,-1,0,Purchased,0,0,-1,2,28,0
0,0,0,Free Agency,0,0,0,72,29,0
1,-3,-1,Traded,7,18,-21,152,29,-7
2,2,1,Free Agency,2,6,-4,107,40,6
0,0,0,Free Agency,0,0,0,11,27,0
0,0,0,Amateur Draft,0,0,0,16,30,0
0,0,0,Free Agency,0,0,0,1,34,0
0,0,0,Amateur Draft,0,0,0,2,26,0
1,20,1,Traded,1,8,12,94,25,15
4,75,1,Amateur Draft,-6,20,55,150,27,3
0,0,0,Free Agency,0,0,0,74,28,0
0,0,0,Free Agency,0,0,0,30,41,0
0,0,0,Amateur Draft--no sign,0,0,0,24,27,0
0,1,0,Traded,0,0,1,31,29,0
0,0,0,Amateur Draft,0,0,0,25,23,0
0,-4,-0,Free Agency,1,2,-6,20,33,1
