STL%,ORB%,MP
2.3,0.0,26:00
0.0,0.0,6:00
0.0,11.4,30:00
1.9,25.6,26:00
8.4,6.9,12:00
3.3,6.3,16:00
0.0,19.0,14:00
8.2,7.2,26:00
0.0,5.4,24:00
2.1,8.7,27:00
0.0,16.3,17:00
12.3,9.5,19:00
0.0,5.4,23:00
0.0,0.0,8:00
3.6,17.0,47:00
0.0,9.4,30:00
0.0,0.0,9:00
2.5,0.0,23:00
2.0,8.4,26:00
0.0,4.6,20:00
3.3,11.5,16:00
6.5,4.3,23:00
0.0,9.5,31:00
0.0,10.9,40:00
2.3,9.6,22:00
6.5,5.0,26:00
0.0,18.8,32:00
0.0,14.5,15:00
1.5,4.8,37:00
0.0,14.8,18:00
0.0,0.0,23:00
0.0,6.7,24:00
2.4,36.3,23:00
0.0,8.1,37:00
5.1,0.0,20:00
0.0,5.7,19:00
2.0,11.7,28:00
2.0,4.2,26:00
2.0,11.1,26:00
7.1,25.9,7:00
0.0,7.0,32:00
3.8,7.2,13:00
4.0,4.6,28:00
0.0,0.0,18:00
1.2,5.2,42:00
