H,GIDP,Player,CS,POS,2B,G,SB
9,0,S Turner,3,OF,2,20,3
34,3,D Giovanatto,1,OF,7,45,3
55,7,K Crowell,0,OF,17,49,1
77,5,C Gindl,4,OF,22,55,4
50,1,K Jones,4,OF,11,38,7
39,2,R Kiniry,3,OF,5,49,8
51,0,D Christensen,3,OF,11,62,7
21,3,A Wycklendt,0,OF,4,34,1
63,1,P Clifford,1,OF,16,63,8
38,4,D Miller,5,OF,7,53,10
70,3,L Haydel,5,OF,12,62,12
31,4,N Van Stratten,2,OF,4,24,7
28,0,O Sandoval,3,RF,5,37,2
5,0,T Worthington,0,RF,0,13,1
1,0,E Gutierrez,0,OF,0,4,0
6,0,J Sims,2,OF,0,17,0
19,1,R Koko,2,OF,5,36,5
52,3,M Jones,4,OF,7,60,7
67,2,D Walker,7,OF,17,63,9
34,5,J Perez,2,OF,8,35,4
63,2,B Menchaca,6,OF,9,63,16
62,3,T Vetters,2,OF,13,57,1
33,3,A Morel,0,OF,7,41,6
29,6,A Urena,2,OF,9,41,1
86,3,A Ortiz,7,OF,9,61,17
4,0,S Houin,1,OF,2,9,1
