G,H,HR,S,BB,W,IP
17,32,3,0,8,0,20.0
36,28,1,0,15,1,24.2
13,54,6,0,31,4,60.2
25,34,2,0,13,1,32.2
10,6,1,0,2,0,8.0
7,6,1,0,3,0,6.2
45,45,7,1,25,1,41.1
75,64,5,0,50,8,88.0
43,34,6,0,20,2,41.0
32,187,35,0,56,14,200.1
34,28,3,1,13,1,27.2
3,7,2,0,0,0,1.2
5,14,3,0,3,0,13.1
70,40,1,1,35,4,66.2
5,6,1,0,1,0,8.1
7,3,0,0,4,1,10.1
31,192,23,0,62,11,198.0
6,8,1,0,2,0,6.1
14,14,0,0,6,0,11.2
15,87,17,0,31,4,82.2
33,207,26,0,72,11,228.2
9,15,1,0,5,0,12.2
10,12,1,0,7,0,9.2
18,104,8,0,38,5,99.2
28,203,20,0,56,12,160.0
62,60,3,3,21,2,59.2
5,20,4,0,13,0,21.0
3,21,5,0,3,0,10.2
8,10,1,0,0,1,7.1
3,6,0,0,3,0,4.1
48,44,9,1,26,1,59.2
4,21,3,0,10,0,16.2
34,211,23,0,82,10,202.1
32,193,21,0,52,9,161.2
26,116,18,0,29,6,97.2
2,12,3,0,3,0,10.1
44,50,6,4,15,4,47.0
8,48,6,0,18,4,40.0
32,201,22,0,67,16,198.0
12,8,0,0,11,1,14.0
8,45,3,0,16,0,29.0
1,5,1,0,2,0,1.2
19,117,10,0,24,7,111.2
27,175,24,0,39,12,154.0
10,7,0,0,3,0,12.2
31,177,24,0,70,6,186.0
31,26,3,0,9,0,16.1
5,6,2,0,10,0,9.1
31,176,24,0,78,9,171.0
33,163,25,0,47,7,154.2
4,9,2,0,3,0,8.1
33,202,18,0,54,8,208.2
26,34,4,0,13,1,24.2
19,102,10,0,46,3,84.1
8,1,0,0,5,1,5.0
3,9,1,0,3,1,9.1
29,172,21,0,40,8,164.1
18,17,0,0,12,1,18.1
12,17,2,0,7,0,14.0
4,6,1,0,1,0,4.0
79,48,3,46,32,4,77.0
3,5,0,0,0,0,4.0
66,54,3,4,26,3,68.2
48,38,7,14,14,2,44.2
59,36,4,0,25,0,43.2
68,57,8,36,21,1,64.1
3,13,2,0,3,0,11.0
39,37,5,0,26,0,33.2
72,34,3,1,19,2,37.2
33,172,28,0,51,12,192.2
25,16,0,1,13,0,19.1
29,33,2,0,12,3,32.2
25,168,11,0,25,9,170.2
11,25,3,0,10,2,32.0
78,59,2,0,21,2,73.2
70,46,5,1,24,2,73.0
62,28,1,1,15,0,34.0
29,187,23,0,49,5,165.2
33,202,12,0,46,13,204.2
14,84,7,0,28,5,79.2
16,8,2,0,1,0,7.0
9,15,3,0,5,0,14.2
58,67,9,0,28,3,62.1
60,60,4,6,27,4,59.1
43,83,11,0,29,4,92.2
47,27,1,2,14,0,33.1
8,12,1,0,7,0,9.0
13,84,7,0,26,1,61.1
33,176,15,0,86,13,217.0
28,161,19,0,45,16,171.2
16,21,2,0,9,1,13.0
58,52,6,8,27,2,71.0
7,11,4,0,5,0,7.0
10,28,2,0,20,1,34.2
1,6,0,0,5,0,3.0
70,59,4,1,25,4,66.1
20,117,10,0,36,3,120.0
11,12,0,0,0,0,10.1
33,190,31,0,83,11,190.1
11,52,5,0,9,1,41.1
34,119,16,0,32,2,101.0
54,13,3,0,13,1,24.2
5,5,0,0,4,0,3.1
61,57,2,0,19,3,55.2
20,119,15,0,51,4,105.1
23,26,4,0,12,1,19.2
33,208,16,0,73,12,183.1
33,174,15,0,54,21,233.1
19,80,9,0,66,4,101.1
79,54,6,1,34,2,71.0
8,32,4,0,23,3,37.1
33,175,22,0,57,13,200.2
3,3,1,0,2,0,3.0
55,66,5,1,32,5,69.2
5,6,1,0,4,0,5.0
34,174,24,0,57,24,251.0
32,187,20,0,64,8,196.1
10,13,2,0,5,0,13.2
49,33,1,6,25,2,51.2
64,46,5,36,26,4,59.2
31,43,5,0,18,3,37.2
28,157,21,0,83,6,156.1
55,84,8,2,42,10,114.0
15,19,4,0,8,1,12.2
72,48,11,0,26,3,88.1
4,11,1,0,5,0,6.0
32,189,14,0,84,11,188.0
5,21,4,0,8,1,19.2
66,47,5,2,17,4,61.0
4,12,3,0,5,0,7.2
63,58,7,22,40,0,59.2
28,163,13,0,57,16,165.1
2,7,0,0,5,0,5.0
24,123,8,0,47,9,156.0
23,24,2,0,10,1,23.0
6,10,1,0,1,0,7.1
23,126,15,0,32,8,134.2
64,28,6,8,26,6,58.0
32,14,3,0,7,2,16.1
2,5,2,0,6,0,6.2
2,11,0,0,5,2,14.2
64,51,4,43,21,3,62.2
34,220,21,0,65,7,193.2
15,106,13,0,15,5,97.0
31,168,16,0,62,9,194.1
30,102,15,0,33,4,105.0
10,12,1,0,8,1,8.1
17,25,3,0,11,0,24.0
11,73,6,0,15,5,58.1
57,55,8,0,31,4,62.0
48,25,2,1,12,0,21.1
40,33,5,0,8,6,39.2
19,12,2,0,5,2,18.1
8,12,1,0,4,0,10.1
5,3,1,0,3,0,5.0
77,73,7,0,20,6,74.1
60,60,7,28,17,5,60.1
14,28,2,0,11,0,29.0
13,23,1,0,7,0,17.2
63,50,3,31,10,4,64.1
2,5,0,0,3,0,3.0
3,3,1,0,1,0,3.0
4,4,1,0,3,0,3.1
4,5,1,0,5,0,5.1
14,19,3,0,11,0,20.0
23,141,23,0,47,7,135.1
18,87,10,0,55,4,78.2
39,50,11,0,31,2,40.1
13,73,8,0,18,4,71.2
31,221,21,0,45,13,205.1
48,118,5,1,40,3,108.2
33,217,17,0,50,16,222.0
18,25,3,1,11,1,34.2
52,51,5,0,20,2,56.0
42,33,4,2,18,2,39.1
15,20,6,0,11,0,18.2
26,18,0,0,11,1,23.0
33,214,23,0,66,13,212.1
29,28,5,0,9,1,19.2
2,0,0,0,2,0,2.1
33,189,14,0,56,16,215.0
30,52,4,1,21,0,48.1
49,24,3,0,11,2,27.2
33,207,29,0,56,15,195.0
16,55,9,0,24,2,58.1
6,11,1,0,4,1,7.0
65,29,2,1,5,3,48.0
28,162,12,0,62,11,154.1
11,55,6,0,17,2,50.2
7,51,3,0,17,1,39.0
52,71,10,1,30,2,80.1
26,39,3,0,14,0,38.1
13,17,2,0,10,0,11.1
2,2,1,0,0,0,2.0
22,106,17,0,46,11,130.0
37,62,9,0,30,6,67.2
8,11,1,0,6,0,12.0
31,137,17,0,28,10,154.1
32,193,11,0,37,11,216.1
9,4,0,0,6,1,11.0
33,103,11,0,32,6,107.0
18,38,5,0,4,0,22.2
14,15,2,7,9,1,12.2
13,14,1,0,6,0,12.0
1,1,0,0,0,0,1.0
15,20,2,0,5,0,10.2
29,43,5,0,13,2,36.0
13,77,5,0,25,3,62.0
47,51,6,0,30,2,52.1
5,6,0,0,3,1,6.1
56,51,7,1,21,2,53.1
30,63,6,0,22,2,56.1
43,57,10,0,21,2,77.2
54,59,3,0,31,0,53.0
27,182,16,0,38,7,145.2
67,50,7,1,31,8,65.1
9,9,0,0,7,0,7.0
21,6,1,0,5,0,12.0
48,33,4,1,20,1,40.2
6,12,1,0,2,0,5.0
34,243,16,0,55,11,237.1
24,63,5,1,26,1,60.1
34,192,22,0,63,12,224.1
4,13,2,0,6,0,7.2
67,69,4,0,21,0,59.1
57,49,7,0,28,6,62.0
47,67,7,0,21,3,53.1
26,14,1,5,16,3,30.0
32,225,16,0,62,12,199.2
2,4,0,0,4,0,5.1
17,16,1,0,9,1,17.1
7,50,11,0,15,1,37.2
46,56,8,0,19,1,77.2
31,149,16,0,43,13,169.0
9,49,3,0,21,3,52.2
30,164,15,0,61,13,179.2
