G,Tm,BLK%,DRtg,TS%,ORB%,USG%,MP,eFG%
31,PHI,0.0,123,.333,0.0,24.6,6:00,.333
7,PHI,0.0,105,.571,6.7,21.9,13:00,.571
23,PHI,0.0,115,.532,24.0,17.5,5:00,.000
54,PHI,0.0,121,.000,0.0,16.1,3:00,.000
19,PHI,0.0,99, ,0.0,10.2,4:00, 
32,PHI,0.0,111,.000,22.2,13.8,6:00,.000
70,PHI,0.0,95,.554,0.0,36.0,9:00,.600
58,PHI,0.0,105,1.000,0.0,9.5,5:00,1.000
1,PHI,0.0,117,.000,8.9,13.8,15:00,.000
62,PHI,0.0,108,.500,0.0,19.4,28:00,.500
64,PHI,0.0,107,.781,0.0,23.1,13:00,.750
68,PHI,0.0,113,.250,0.0,17.4,13:00,.250
5,PHI,0.0,113,.410,0.0,16.7,13:00,.500
30,PHI,0.0,116,1.000,0.0,27.0,5:00,1.000
65,PHI,0.0,106,1.064,0.0,5.6,14:00,1.000
71,PHI,0.0,93,.602,0.0,16.4,17:00,.500
63,PHI,0.0,101,.000,0.0,9.3,5:00,.000
41,PHI,0.0,83,.174,0.0,28.2,6:00,.000
12,PHI,0.0,103,.500,0.0,30.5,6:00,.500
42,PHI,0.0,109,.527,7.2,25.8,18:00,.500
15,PHI,0.0,120,1.000,0.0,12.4,4:00,1.000
45,PHI,0.0,109,.543,0.0,14.2,8:00,.000
60,PHI,6.7,98,.000,0.0,15.2,9:00,.000
27,PHI,0.0,122,.415,0.0,23.5,18:00,.375
48,PHI,0.0,119, ,0.0,0.0,5:00, 
3,PHI,0.0,112,.000,0.0,14.9,6:00,.000
55,PHI,0.0,91,.500,0.0,16.1,6:00,.500
39,PHI,0.0,115,.000,0.0,45.6,2:00,.000
9,PHI,0.0,115,.545,0.0,13.1,45:00,.545
11,PHI,0.0,112,.400,0.0,14.4,17:00,.400
33,PHI,0.0,112,.414,0.0,16.6,33:00,.400
6,PHI,0.0,106,.512,0.0,22.5,12:00,.500
