BLK%,Age,Tm,eFG%,MP,G
0.0,26-045,BOS,.000,4:00,16
0.0,26-122,BOS,.800,26:00,54
0.0,26-019,BOS,.000,9:00,5
0.0,26-108,BOS,.500,11:00,46
0.0,26-112,BOS,.750,10:00,48
0.0,26-103,BOS,1.000,10:00,43
0.0,26-101,BOS,1.000,5:00,42
0.0,26-081,BOS,1.000,10:00,33
0.0,26-017,BOS,.000,4:00,4
2.8,26-098,BOS,.333,18:00,41
0.0,26-085,BOS,.500,4:00,35
0.0,26-121,BOS,.667,24:00,53
0.0,26-012,BOS, ,1:00,2
0.0,25-342,CHI, ,7:00,1
0.0,26-044,BOS,.500,11:00,15
0.0,26-087,BOS,.400,7:00,36
0.0,26-096,BOS,.500,17:00,40
0.0,26-131,BOS,.600,18:00,58
0.0,26-138,BOS,1.000,7:00,61
0.0,26-110,BOS,.667,9:00,47
0.0,26-072,BOS,1.000,12:00,27
0.0,26-094,BOS,.000,5:00,39
0.0,26-107,BOS,.500,6:00,45
0.0,26-075,BOS,.600,13:00,29
0.0,26-089,BOS,1.000,9:00,37
5.1,26-126,BOS,.333,14:00,56
6.4,26-065,BOS,.000,8:00,25
0.0,26-052,BOS,.500,15:00,19
0.0,26-013,BOS,.000,4:00,3
0.0,26-119,BOS,.833,18:00,52
0.0,26-061,BOS,.333,11:00,24
0.0,26-074,BOS,.333,12:00,28
2.9,26-128,BOS,.500,19:00,57
