Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
PILCHER William,USA,M,11M999A,40.5,0.0,0.0,1959.0,L,1.0,M4,08/13/2011,50.0,USAM0156
 , , , , , , , , , , , , , 
PILCHER William,USA,M,11S139B,0.0,1670.0,0.0,1959.0,L,1.0,M4,07/30/2011,6.0,USAS0288
 , , , , , , , , , , , , , 
PILCHER William,USA,M,11M999A,0.0,1400.0,0.0,1959.0,L,1.0,M4,08/13/2011,16.0,USAM0156
 , , , , , , , , , , , , , 
PILCHER William,USA,M,11M999A,0.0,0.0,42.3,1959.0,L,1.0,M4,08/13/2011,9.0,USAM0156
 , , , , , , , , , , , , , 
PILCHER William,USA,M,11S139B,0.0,0.0,41.4,1959.0,L,1.0,M4,07/30/2011,3.0,USAS0288
