3B,HBP,HR,SH,H,SB,Notes,BB,R,SO
0,0,0,0,0,0,4 strikeouts,0,0,4
0,0,1,0,4,0,4 hits,0,1,0
0,0,1,0,4,0,4 hits,0,1,0
0,0,0,0,4,0,4 hits,1,0,0
0,0,1,0,3,0,400th career home run,0,2,1
0,0,1,0,4,0,4 hits,0,1,0
0,0,0,0,4,0,4 hits,0,2,1
0,0,2,0,4,0,"2 home runs, 6 RBIs, 4 hits",0,3,0
0,0,2,0,2,0,2 home runs,0,2,0
0,0,2,0,2,0,2 home runs,0,2,3
0,0,1,0,4,0,4 hits,0,3,0
0,0,1,0,4,0,"5 RBIs, 4 hits",0,2,1
0,0,1,0,1,0,400th career home run,0,1,2
0,0,0,0,3,0,4 runs scored,1,4,0
0,0,3,0,3,0,3 home runs,0,3,0
0,0,0,0,1,0,4 strikeouts,0,1,4
0,1,2,0,2,0,2 home runs,0,3,0
0,0,2,0,3,0,2 home runs,1,2,1
0,0,1,0,3,0,200th career home run,0,2,1
0,0,2,0,3,0,2 home runs,1,2,0
0,0,0,0,1,0,2 sacrifice flies,1,1,0
0,0,2,0,3,0,2 home runs,0,2,0
0,0,1,0,4,0,4 hits,0,3,0
0,0,0,0,4,0,4 hits,0,1,0
0,0,1,0,4,0,"4 runs scored, 4 hits",0,4,0
0,0,0,0,4,0,4 hits,0,1,0
0,0,0,0,1,0,500th career RBI,0,0,0
0,0,0,0,4,0,4 hits,0,1,0
0,0,1,0,4,0,4 hits,0,1,0
0,0,1,0,4,0,4 hits,1,1,0
0,0,1,0,4,0,4 hits,0,3,0
0,0,2,0,3,0,2 home runs,0,2,0
0,0,1,0,4,0,4 hits,0,2,0
0,0,0,0,4,0,4 hits,0,1,0
0,0,2,0,2,0,2 home runs,1,2,0
