TOV%,AST%,Date,G,STL%
100.0,21.3,1985-12-03,21,0.0
33.3,21.1,1985-11-26,17,3.7
21.0,28.8,1986-02-27,61,0.0
0.0,28.6,1986-03-04,64,3.1
66.7,55.0,1986-02-19,57,0.0
34.7,38.1,1986-03-06,65,0.0
34.7,30.0,1986-03-10,67,3.2
17.4,8.3,1985-10-25,1,2.6
33.3,27.0,1985-11-27,18,0.0
0.0,40.0,1986-03-30,76,0.0
15.0,0.0,1986-04-12,82,3.5
34.0,26.4,1986-02-21,58,3.1
50.0,37.0,1985-12-02,20,3.0
16.7,61.8,1985-12-26,32,0.0
50.0,33.0,1985-12-11,26,0.0
75.0,11.4,1985-11-30,19,0.0
75.0,56.4,1985-11-10,9,0.0
24.0,33.0,1985-12-08,24,2.1
50.0,33.5,1985-12-13,27,0.0
100.0,39.0,1985-11-20,14,0.0
0.0,36.4,1985-10-31,4,6.3
0.0,18.7,1986-03-25,73,0.0
14.3,29.8,1985-11-05,6,0.0
8.8,10.1,1986-03-16,69,4.1
0.0,21.6,1985-11-23,16,0.0
0.0,44.4,1986-04-08,80,2.3
29.1,34.2,1986-03-08,66,3.0
 ,31.3,1986-02-23,59,2.3
25.8,0.0,1986-01-28,49,0.0
20.5,29.0,1986-03-12,68,0.0
22.2,29.3,1985-10-29,3,2.3
50.0,31.9,1986-03-20,71,0.0
0.0,62.5,1986-01-15,42,3.9
0.0,25.8,1985-12-17,29,3.6
26.9,33.5,1986-01-22,46,0.0
25.0,27.9,1985-11-08,8,0.0
15.5,55.6,1986-03-01,62,0.0
0.0,65.4,1986-04-01,77,0.0
12.7,42.4,1985-11-22,15,0.0
 ,68.6,1986-01-19,44,0.0
29.6,11.5,1986-02-15,55,0.0
50.0,51.7,1986-03-03,63,0.0
0.0,8.8,1986-01-21,45,5.2
