TRB%,TS%,BLK%,Opp
0.0,.717,0.0,SAC
4.2,.254,0.0,LAC
2.5,.429,0.0,CHI
2.7,1.028,0.0,SAS
7.7,.508,0.0,HOU
0.0, ,0.0,PHI
3.5,1.025,0.0,LAC
7.9,.316,3.8,SAS
0.0,.347,0.0,POR
0.0,.000,0.0,IND
0.0, ,0.0,PHO
3.7,.399,0.0,SEA
0.0,.000,0.0,LAL
3.6,1.000,0.0,POR
0.0,.667,0.0,ATL
7.2,.717,0.0,CLE
0.0,.000,0.0,DAL
4.1,.333,0.0,HOU
0.0,.694,0.0,NJN
4.0,.167,4.3,DAL
0.0,.429,0.0,UTA
0.0,.500,0.0,CHI
3.2,.798,0.0,WSB
3.4,.509,0.0,PHO
5.7,.210,0.0,DEN
0.0,.595,0.0,NYK
0.0,.521,0.0,LAL
3.5, ,0.0,MIL
0.0,.581,0.0,LAC
8.1,.919,0.0,DAL
5.0,.000,0.0,SAS
5.0,.545,0.0,DAL
4.3,1.064,0.0,CLE
0.0,.500,0.0,HOU
