RBI,H,G,POS,Team
13,26,22,OF,BEL
1,1,3,1B,DAY
21,62,75,2B,WIS
0,0,3,3B,DAY
6,12,12,OF,CLI
2,8,14,C,GL
52,128,130,OF,QC
61,135,131,SS,KC
51,120,127,OF,PEO
43,82,78,C,CLI
1,10,12,2B,LAN
19,44,51,2B,GL
39,84,97,OF,BEL
37,71,90,SS,LAN
17,50,52,LF,KC
1,3,2,SS,QC
40,106,112,CF,KC
63,135,127,3B,WIS
51,96,103,C,SB
79,95,108,DH,LAN
53,109,112,OF,BUR
80,133,130,LF,SB
16,52,74,C,WIS
7,18,26,SS,DAY
26,53,75,LF,LC
48,105,106,1B,GL
28,70,76,3B,LAN
50,106,104,3B,WIS
68,104,116,1B,DAY
3,7,16,OF,DAY
64,99,123,SS,KC
16,58,64,SS,KC
27,51,77,OF,CR
61,122,128,1B,BG
9,35,40,C,GL
41,83,101,RF,WIS
7,10,11,OF,CLI
6,16,25,SS,QC
49,141,131,SS,QC
61,113,92,OF,FW
5,21,39,2B,BUR
3,8,13,OF,CLI
23,67,59,OF,FW
2,13,28,C,CR
73,125,111,1B,CLI
61,98,109,1B,PEO
18,32,39,C,PEO
23,32,42,3B,GL
11,36,44,C,FW
22,54,78,OF,BUR
22,32,46,CF,QC
0,5,7,OF,PEO
2,12,19,SS,LC
38,116,125,2B,PEO
28,34,39,C,LC
50,118,117,RF,DAY
4,9,9,SS,BG
0,2,5,OF,BG
50,127,117,SS,KC
12,14,18,OF,KC
4,10,17,1B,FW
15,43,46,LF,CLI
1,4,6,C,SB
76,141,135,1B,SB
20,26,40,C,WM
3,4,8,3B,BUR
68,114,102,3B,CLI
30,82,102,OF,BEL
100,118,129,3B,BEL
2,7,7,OF,GL
3,21,24,SS,PEO
8,17,27,C,KC
36,75,73,C,LC
3,2,4,CF,WIS
2,16,24,LF,DAY
44,63,74,LF,BG
7,8,13,C,LC
44,70,65,CF,DAY
33,74,74,C,BG
1,11,6,OF,LC
51,122,125,2B,DAY
26,48,49,SS,BEL
29,57,76,1B,CLI
0,2,6,SS,LAN
0,0,1,P,BEL
49,84,93,C,LC
23,73,68,OF,KC
42,73,92,C,DAY
1,1,2,3B,LC
45,66,70,C,BG
2,6,8,DH,BG
7,18,43,2B,WIS
48,127,117,SS,FW
28,37,38,OF,BUR
7,10,18,SS,LC
0,4,3,OF,FW
43,72,66,1B,CLI
3,20,41,3B,WM
17,46,55,2B,LAN
68,119,109,LF,WIS
43,72,66,1B,WIS
48,92,116,3B,LC
0,3,7,C,QC
1,5,14,2B,WM
72,124,114,SS,BG
34,74,64,3B,SB
3,9,11,SS,BUR
27,88,95,2B,CLI
19,42,41,SS,QC
7,25,34,C,LAN
7,20,16,OF,BUR
0,1,5,3B,CR
4,7,18,OF,QC
42,59,49,2B,QC
40,88,94,CF,LAN
0,0,1,P,GL
33,77,70,CF,BUR
24,69,72,C,SB
12,19,34,C,WM
33,84,76,LF,BEL
61,116,105,OF,KC
16,29,37,CF,BG
3,6,10,C,LAN
24,45,70,C,BUR
23,48,52,C,CR
2,8,7,C,GL
53,99,91,CF,BG
9,26,28,2B,LAN
24,61,68,DH,WM
11,30,40,1B,WM
16,25,27,3B,DAY
0,0,2,C,FW
35,79,93,SS,BEL
37,74,99,LF,BG
48,86,92,OF,SB
42,66,90,SS,GL
7,13,18,C,GL
8,28,44,SS,SB
37,69,78,SS,LAN
1,1,1,P,GL
32,72,75,SS,BEL
1,6,9,SS,CR
30,65,105,SS,BEL
34,55,62,SS,KC
27,61,58,OF,CR
35,75,97,OF,DAY
12,29,25,C,PEO
37,72,83,SS,BUR
25,49,48,C,WM
30,100,102,2B,GL
10,11,10,1B,QC
11,17,31,C,WIS
6,16,19,3B,WM
0,2,4,OF,FW
1,1,2,OF,CLI
6,15,19,LF,LAN
11,27,35,OF,PEO
6,13,17,OF,PEO
30,80,105,SS,CR
