BLK%,AST%,USG%
0.0,66.7,16.1
0.0,0.0,6.4
0.0,0.0,13.5
0.0,0.0,45.9
0.0,0.0,0.0
0.0,31.7,16.9
0.0,8.8,16.6
5.5,13.0,16.5
0.0,0.0,5.7
0.0,0.0,0.0
0.0,0.0,0.0
2.8,6.5,10.2
4.9,7.5,21.3
0.0,12.7,14.8
0.0,21.4,15.9
0.0,0.0,0.0
0.0,0.0,37.9
0.0,10.5,26.4
0.0,7.7,13.6
0.0,0.0,14.0
0.0,0.0,0.0
0.0,13.8,11.6
0.0,43.0,22.4
0.0,52.2,22.0
0.0,11.9,9.1
0.0,8.8,6.5
0.0,28.6,10.1
0.0,0.0,40.3
0.0,0.0,34.3
0.0,0.0,19.1
0.0,0.0,20.3
0.0,0.0,25.8
0.0,11.8,25.9
0.0,16.7,24.2
0.0,21.3,24.7
0.0,31.6,22.1
0.0,7.4,14.9
