Open Date,Close date,Symbol,Action,Lots,SL(Pips),TP(Pips),Open Price,Close Price,Pips,Profit (USD),Duration,Gain
11.06.2011 22:00,11.06.2011 22:00,11.06.2011 23:04,11.06.2011 23:04,GBPUSD,Sell,0.51,- - -,- - -,1.60637,1.60485,15.2,77.52
11.03.2011 19:00,11.03.2011 19:00,11.04.2011 00:46,11.04.2011 00:46,GBPUSD,Sell,0.51,- - -,- - -,1.60365,1.60201,16.4,81.97
11.03.2011 01:01,11.03.2011 01:01,11.03.2011 03:59,11.03.2011 03:59,GBPUSD,Buy,1.02,- - -,- - -,1.59011,1.59129,11.8,120.36
11.02.2011 23:48,11.02.2011 23:48,11.03.2011 03:59,11.03.2011 03:59,GBPUSD,Buy,0.51,- - -,- - -,1.59218,1.59129,-8.9,-43.83
11.02.2011 23:32,11.02.2011 23:32,11.02.2011 23:48,11.02.2011 23:48,GBPUSD,Buy,1.53,- - -,- - -,1.58954,1.59184,23.0,351.9
11.02.2011 23:14,11.02.2011 23:14,11.02.2011 23:48,11.02.2011 23:48,GBPUSD,Buy,1.02,- - -,- - -,1.59241,1.59184,-5.7,-58.14
11.02.2011 19:12,11.02.2011 19:12,11.02.2011 23:48,11.02.2011 23:48,GBPUSD,Buy,0.51,- - -,- - -,1.5952,1.59184,-33.6,-171.36
11.02.2011 06:10,11.02.2011 06:10,11.02.2011 07:01,11.02.2011 07:01,GBPUSD,Sell,0.51,- - -,- - -,1.59899,1.59744,15.5,79.05
11.02.2011 03:47,11.02.2011 03:47,11.02.2011 06:10,11.02.2011 06:10,GBPUSD,Sell,0.5,- - -,- - -,1.59824,1.59911,-8.7,-43.5
11.01.2011 23:03,11.01.2011 23:03,11.02.2011 06:10,11.02.2011 06:10,GBPUSD,Buy,1.5,- - -,- - -,1.59293,1.599,60.7,912.03
11.01.2011 06:05,11.01.2011 06:05,11.02.2011 06:10,11.02.2011 06:10,GBPUSD,Buy,0.5,- - -,- - -,1.60506,1.599,-60.6,-302.49
11.01.2011 06:50,11.01.2011 06:50,11.02.2011 06:10,11.02.2011 06:10,GBPUSD,Buy,1.0,- - -,- - -,1.60337,1.599,-43.7,-435.98
11.01.2011 05:15,11.01.2011 05:15,11.01.2011 06:05,11.01.2011 06:05,GBPUSD,Buy,1.5,- - -,- - -,1.60356,1.60474,11.8,177.0
11.01.2011 04:58,11.01.2011 04:58,11.01.2011 06:05,11.01.2011 06:05,GBPUSD,Buy,1.0,- - -,- - -,1.60472,1.60474,0.2,2.0
11.01.2011 03:30,11.01.2011 03:30,11.01.2011 06:05,11.01.2011 06:05,GBPUSD,Buy,0.5,- - -,- - -,1.60663,1.60474,-18.9,-94.5
11.01.2011 01:11,11.01.2011 01:11,11.01.2011 01:21,11.01.2011 01:21,GBPUSD,Buy,0.5,- - -,- - -,1.6064,1.60796,15.6,78.0
11.01.2011 00:14,11.01.2011 00:14,11.01.2011 00:17,11.01.2011 00:17,GBPUSD,Buy,0.5,- - -,- - -,1.60622,1.60781,15.9,79.5
10.31.2011 23:03,10.31.2011 23:03,11.01.2011 00:01,11.01.2011 00:01,GBPUSD,Buy,0.5,- - -,- - -,1.60636,1.60794,15.8,79.51
10.31.2011 19:00,10.31.2011 19:00,10.31.2011 19:09,10.31.2011 19:09,GBPUSD,Sell,0.5,- - -,- - -,1.6133,1.61185,14.5,72.5
10.31.2011 06:13,10.31.2011 06:13,10.31.2011 13:33,10.31.2011 13:33,GBPUSD,Sell,0.49,- - -,- - -,1.59856,1.60608,-75.2,-368.48
