R,Opp,Game Date,BB,Result,HR
2,OAK,2000-08-16,0,L 6-7 @OAK,2
1,SEA,2000-08-18,4,W 9-8 vs SEA,0
2,CIN,2000-06-10,0,W 6-5 vs CIN,2
0,CHA,2000-06-12,0,L 7-8 vs CHA,0
2,ANA,2000-08-06,0,W 5-2 vs ANA,2
1,KCA,2000-09-23,0,W 11-1 @KCA,0
0,NYA,2000-05-19,0,L 7-11 vs NYA,0
2,BAL,2000-09-03,0,W 12-11 vs BAL,0
2,OAK,2000-04-19,0,L 5-10 vs OAK,2
2,TOR,2000-07-04,1,W 9-4 vs TOR,2
1,OAK,2000-04-10,0,W 9-4 @OAK,0
2,BOS,2000-09-21,0,W 8-5 @BOS,0
2,NYA,2000-09-15,0,W 11-1 @NYA,0
0,TBA,2000-04-09,1,W 17-4 @TBA,0
2,KCA,2000-07-19,0,L 5-10 vs KCA,2
2,KCA,2000-05-11,0,W 16-0 vs KCA,0
0,SEA,2000-04-26,4,W 5-3 @SEA,0
1,DET,2000-05-16,0,W 11-9 vs DET,0
0,BOS,2000-04-28,2,W 4-3 vs BOS,0
3,KCA,2000-05-11,1,W 16-0 vs KCA,2
0,CHA,2000-06-14,0,L 4-11 vs CHA,0
3,BAL,2000-07-29,0,W 14-3 @BAL,0
2,BOS,2000-09-21,1,L 8-9 @BOS,0
3,KCA,2000-06-27,1,W 12-1 @KCA,2
2,DET,2000-05-24,0,L 9-10 @DET,2
2,KCA,2000-07-20,1,L 6-10 vs KCA,2
1,SEA,2000-08-20,0,W 12-4 vs SEA,0
2,TOR,2000-05-05,0,L 10-11 @TOR,0
0,SEA,2000-04-24,0,W 6-0 @SEA,0
1,BOS,2000-09-21,4,L 8-9 @BOS,0
