Name,Yr,Pos,G,Rush,Recv.,Punt Ret.,Kick Ret.,Int. Ret.,Plays,Total Yards,Yards/Play,Yards/G
Robert Lowe,SO,RB,12,945,166,0,0,0,183,1111,6.1,92.6
Brandon Smith,SO,WR,12,0,241,0,598,0,42,839,20.0,69.9
Andy Erickson,SR,WR,12,23,273,284,169,0,57,749,13.1,62.4
Chris Nutall,SO,RB,11,477,48,0,0,0,88,525,6.0,47.7
Terrence Franks,JR,RB,12,201,183,0,0,0,49,384,7.8,32.0
Bradley Miller,JR,TE,12,0,311,0,0,0,24,311,13.0,25.9
Isaiah Battle,SR,WR,12,5,259,0,0,0,30,264,8.8,22.0
Tyler Jones,FR,QB,9,257,0,0,0,0,89,257,2.9,28.6
Ben Ijah,JR,WR,11,-5,207,0,0,0,17,202,11.9,18.4
Craig Mager,JR,DB,12,0,0,0,65,0,6,109,18.2,9.1
Ryan Carden,SO,TE,11,0,70,0,23,0,9,93,10.3,8.5
Duke DeLancellotti,SR,QB,10,89,0,0,0,0,21,89,4.2,8.9
Justin Iwuji,SR,DB,12,0,0,0,0,80,3,80,26.7,6.7
Tim Gay,SO,RB,11,70,0,0,1,0,10,71,7.1,6.5
Jafus Gaines,SO,WR,7,0,27,0,28,0,5,55,11.0,7.9
David Lewis,JR,TE,11,0,44,0,9,0,4,53,13.3,4.8
David Mayo,JR,LB,10,0,0,0,0,35,4,35,8.8,3.5
Aaron Matthews,SR,DB,12,0,0,0,0,35,1,35,35.0,2.9
Jordan Moore,FR,QB,6,34,0,0,0,0,21,34,1.6,5.7
Michael Gilmore,JR,WR,6,18,9,0,4,0,3,31,10.3,5.2
C.J. Best,JR,RB,2,27,0,0,0,0,4,27,6.8,13.5
Colby Targun,JR,DB,12,0,0,0,0,17,1,17,17.0,1.4
Tyler Arndt,SR,QB,7,14,0,0,0,0,22,14,0.6,2.0
Terrell Smith,JR,WR,9,0,8,0,0,0,2,8,4.0,0.9
David Mims II,SO,DB,12,0,0,0,0,0,1,8,8.0,0.7
Jason Dann,JR,K,9,0,6,0,0,0,1,6,6.0,0.7
Ryan Garrey,SO,WR,6,0,5,0,0,0,1,5,5.0,0.8
Xavier Daniels,SR,DB,12,0,0,0,0,2,1,2,2.0,0.2
Germod Williams,FR,DB,8,0,0,0,0,0,1,0,0.0,0.0
Zach Robinson,SR,P,6,-12,0,0,0,0,1,-12,-12.0,-2.0
Team, , ,8,-85,0,0,0,0,8,-85,-10.6,-10.6
Total, , ,12,2058,1857,284,897,169,709,5317,7.5,443.1
Opponents, , ,12,1769,2991,286,395,220,752,5691,7.6,474.3
