ORtg,GmSc,STL%,Tm,ORB%,GS,BLK%,Rk,TRB%
43,-0.3,0.0,HOU,18.2,0,0.0,41,9.4
87,1.2,0.0,HOU,0.0,0,0.0,14,9.4
122,3.3,0.0,HOU,57.1,0,0.0,46,31.2
91,1.1,0.0,HOU,0.0,0,0.0,27,26.7
168,9.7,0.0,HOU,0.0,0,0.0,16,11.6
0,-2.1,0.0,HOU,0.0,0,0.0,39,0.0
51,-1.8,0.0,HOU,0.0,0,0.0,9,0.0
64,-0.1,0.0,HOU,0.0,0,0.0,44,0.0
70,3.4,0.0,HOU,5.6,1,6.6,32,18.4
22,0.2,6.1,HOU,0.0,0,0.0,28,11.4
118,3.6,0.0,HOU,10.9,0,0.0,21,15.0
0,-2.8,0.0,HOU,0.0,0,0.0,17,0.0
105,5.2,0.0,HOU,8.6,0,0.0,10,14.5
92,2.6,0.0,HOU,24.2,0,0.0,34,19.8
83,1.6,0.0,HOU,98.0,0,0.0,52,74.8
110,2.6,0.0,HOU,0.0,0,0.0,22,12.6
0,-1.4,0.0,HOU,0.0,0,0.0,25,0.0
82,1.3,0.0,HOU,0.0,1,3.3,31,8.7
114,4.6,9.9,HOU,32.0,0,0.0,50,11.7
73,1.5,0.0,HOU,6.9,0,0.0,11,15.3
