ab,sb,3b,hr,gdp,hbp,h,avg,2b
34,2,0,0,0,2,8,0.266,0
37,3,0,0,0,2,9,0.307,4
38,0,0,2,1,1,13,0.308,2
37,0,0,5,0,1,9,0.307,0
36,0,0,2,0,1,8,0.306,1
33,1,0,0,1,1,7,0.212,1
35,2,0,3,3,0,12,0.309,0
30,1,0,0,1,1,3,0.306,0
37,0,0,1,0,1,10,0.311,1
35,0,0,2,0,1,10,0.314,5
41,3,0,0,2,0,19,0.314,3
32,0,0,0,0,3,13,0.311,1
32,4,0,1,0,1,11,0.302,1
34,0,0,1,0,1,11,0.308,2
41,1,0,3,1,3,13,0.307,0
44,0,0,1,2,0,19,0.29,4
33,0,0,1,0,1,10,0.3,1
40,3,1,2,0,3,15,0.314,1
43,4,0,3,0,3,15,0.303,3
35,3,0,1,0,0,11,0.3,5
37,1,1,1,0,1,12,0.306,2
35,2,0,1,0,0,13,0.297,5
34,1,0,0,2,0,9,0.225,1
39,3,0,1,0,0,10,0.3,1
37,2,0,2,0,4,14,0.259,2
38,4,2,1,0,0,17,0.31,1
30,5,0,3,0,0,7,0.255,2
35,0,0,0,1,0,12,0.313,4
1883,69,8,67,20,65,573,0.304,103
28,0,0,0,0,0,3,0.303,0
38,0,0,1,0,0,13,0.312,2
