Player,Team,Date,Inn.,Count,Type,Dist. (ft.),Field,Opponent,Home/Away,Pitcher,Outcome
David Ortiz,Opponent,"Sep 09, 2003",3,2-2,Two-run,430.0,Right,Boston Red Sox,Home,Damian Moss,Loss
Carl Everett,Opponent,"May 11, 2000",6, ,Two-run,429.0,Right,Boston Red Sox,Home,Jose Mercedes,Loss
Troy O'Leary,Opponent,"Jun 22, 1999",7,0-0,Solo,413.0,Right,Boston Red Sox,Home,Sidney Ponson,Win
Mo Vaughn,Opponent,"Jul 07, 1996",1,1-0,Two-run,419.0,Right,Boston Red Sox,Home,Scott Erickson,Loss
Luke Scott,Orioles,"Apr 27, 2011",4,1-0,Two-run,426.0,Right,Boston Red Sox,Home,Josh Beckett,Win
David Ortiz,Opponent,"May 21, 2012",6,3-1,Solo,424.0,Right,Boston Red Sox,Home,Tommy Hunter,Loss
Aubrey Huff,Orioles,"Apr 21, 2009",3,2-0,Two-run,415.0,Right,Chicago White Sox,Home,Jose Contreras,Win
Gary Matthews Jr.,Orioles,"Jul 19, 2002",3,2-1,Solo,406.0,Right,Chicago White Sox,Home,John Garland,Win
Jeff Liefer,Opponent,"Jun 21, 2001",2,1-2,Solo,410.0,Right,Chicago White Sox,Home,Jason Johnson,Win
Adam Dunn,Opponent,"Sep 08, 2013",5,0-1,Two-run,424.0,Right,Chicago White Sox,Home,Bud Norris,Loss
Luke Scott,Orioles,"Sep 08, 2008",4,0-1,Solo,415.0,Right,Cleveland Indians,Home,Fausto Carmona,Win
Brady Anderson,Orioles,"May 13, 1998",1,0-0,Solo,403.0,Right,Cleveland Indians,Home,Chad Ogea,Win
Jim Thome,Opponent,"Sep 05, 1999",3,3-2,Solo,420.0,Right,Cleveland Indians,Home,Sidney Ponson,Loss
Jim Thome,Opponent,"Jul 26, 1996",1, ,Two-run,440.0,Right,Cleveland Indians,Home,Mike Mussina,Loss
Carlos Santana,Opponent,"Jul 17, 2011",1,1-1,Solo,424.0,Right,Cleveland Indians,Home,Mitch Atkins,Win
Matt Wieters,Orioles,"Jun 29, 2012",6,0-0,Three-run,395.0,Right,Cleveland Indians,Home,Derek Lowe,Win
Asdrubal Cabrera,Opponent,"Jun 29, 2012",3,3-1,Solo,423.0,Right,Cleveland Indians,Home,Jake Arrieta,Win
Chris Davis,Orioles,"Jun 30, 2012",4,2-1,Three-run,431.0,Right,Cleveland Indians,Home,Josh Tomlin,Loss
Lonnie Chisenhall,Opponent,"Jun 27, 2013",2,2-2,Solo,413.0,Right,Cleveland Indians,Home,Miguel Gonzalez,Win
Charlie Blackmon,Opponent,"Aug 16, 2013",8,0-1,Solo,392.0,Right,Colorado Rockies,Home,Francisco Rodriguez,Loss
Luke Scott,Orioles,"Jul 19, 2008",10,0-1,Solo,420.0,Right,Detroit Tigers,Home,Freddy Dolsi,Win
Delino DeShields,Orioles,"Aug 08, 1999",7,1-0,Solo,422.0,Right,Detroit Tigers,Home,Brian Moehler,Loss
Bobby Bonilla,Orioles,"Sep 08, 1996",8,0-0,Solo,405.0,Right,Detroit Tigers,Home,Jose Lima,Win
Mickey Tettleton,Opponent,"Apr 20, 1992",3,2-1,Solo,406.0,Right,Detroit Tigers,Home,Ben McDonald,Win
Victor Martinez,Opponent,"May 13, 2014",9,0-0,Solo, ,Right,Detroit Tigers,Home,Tommy Hunter,Loss
