Symbol,Company,Insider,Position,Date,Buy/Sell,Shares,Trade Price ($),Cost ($1000),Price Change Since Trade (%),Yield (%),P/E,Market Cap ($M),Details
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman (Click for the stocks that their CEOs have bought)",2015-02-24,Sell,"150,372",$50.97,7664.5,-16.28,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2015-02-13,Sell,"48,434",$50.99,2469.6,-16.32,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2014-08-21,Sell,"138,683",$47.53,6591.6,-10.23,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2014-08-19,Sell,"29,495",$47.02,1386.9,-9.25,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2014-05-28,Sell,"120,249",$47.26,5683.0,-9.71,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2014-02-21,Sell,"28,212",$45.28,1277.4,-5.76,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2014-02-14,Sell,"203,541",$45.67,9295.7,-6.57,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-11-18,Sell,"70,725",$43.41,3070.2,-1.7,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-11-18,Sell,"70,725",$43.41,3070.2,-1.7,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-11-14,Sell,"17,063",$43.46,741.6,-1.82,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-11-12,Sell,"168,407",$43.34,7298.8,-1.55,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-11-07,Sell,"4,500",$43.06,193.8,-0.91,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-08-05,Sell,"145,230",$41.41,6014.0,3.04,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-06-04,Sell,"23,400",$38.14,892.5,11.88,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-05-06,Sell,"53,429",$37.69,2013.7,13.21,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-02-25,Sell,"44,180",$37.16,1641.7,14.83,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2013-02-19,Sell,"60,501",$37,2238.5,15.32,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2012-02-21,Sell,"20,000",$37.19,743.8,14.74,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2012-02-17,Sell,"147,562",$37.17,5484.9,14.8,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2012-02-17,Sell,"147,562",$37.17,5484.9,14.8,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2011-11-15,Sell,"93,089",$37,3444.3,15.32,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2011-11-14,Sell,"109,411",$36.92,4039.5,15.57,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2011-11-08,Sell,"76,396",$36.92,2820.5,15.57,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2011-05-10,Sell,"20,275",$41.23,835.9,3.49,3.35,25.52,8633.13,Link
MCHP,Microchip Techn...,SANGHI STEVE,"President, CEO, Chairman",2011-02-14,Sell,"23,781",$38.14,907.0,11.88,3.35,25.52,8633.13,Link
