3B,SB,AB
1,0,150
0,0,30
1,15,239
1,2,235
6,28,269
0,3,117
2,14,240
1,7,96
0,0,21
0,0,24
0,6,118
0,4,64
1,4,32
0,0,35
0,1,158
2,10,276
0,1,102
2,7,114
0,0,0
0,0,67
2,6,201
0,1,158
0,0,92
4,28,269
1,1,142
1,4,124
0,0,14
0,0,43
1,9,194
0,1,19
0,23,194
1,3,65
2,11,191
2,6,128
1,0,234
4,6,245
0,0,37
3,2,250
0,0,15
1,3,162
0,5,142
0,1,32
1,3,86
1,6,163
0,2,34
0,0,8
0,3,93
0,3,42
0,0,10
0,0,3
5,8,191
1,3,152
0,1,86
0,1,99
0,7,147
0,0,29
0,0,259
0,1,82
0,4,87
0,0,58
1,2,115
2,14,276
0,0,30
0,0,13
0,0,15
0,0,8
0,6,219
0,2,106
0,14,241
1,0,131
0,0,3
0,6,106
0,0,19
0,1,131
1,1,160
0,0,8
0,1,96
0,2,111
1,0,51
5,16,271
0,1,131
0,0,4
0,2,228
0,2,28
0,0,14
0,3,82
2,4,233
0,3,38
0,0,239
0,0,18
3,15,199
0,4,84
1,5,162
0,0,10
