Q,F,T,L,C,J,M,V,I,O
11,159,119,0.76%,2378,0.00%,0.76%,0,0,3.98%
20,436,204,0.68%,1815,0.00%,0.68%,0,0,3.99%
107,431,119,1.58%,2964,0.00%,1.58%,0,0,0.94%
10,250,49,0.39%,2210,0.00%,0.39%,0,0,10.02%
103,512,53,0.86%,2456,0.00%,0.86%,0,0,2.54%
16,916,178,1.07%,3925,0.32%,1.39%,0,15,1.28%
0,446,111,5.65%,2230,0.00%,5.65%,0,0,3.88%
0,60,112,2.26%,1193,0.00%,2.26%,0,0,10.63%
10,252,208,0.67%,1800,0.00%,0.67%,0,0,9.85%
11,226,214,2.06%,2272,0.00%,2.06%,0,0,1.60%
0,223,278,5.06%,2730,0.00%,5.06%,0,0,4.01%
0,98,60,3.18%,1279,0.00%,3.18%,0,0,1.73%
0,200,0,1.56%,1351,0.00%,1.56%,0,0,0.68%
43,268,180,0.68%,3505,0.00%,0.68%,0,0,2.23%
41,134,76,1.58%,2296,0.00%,1.58%,0,0,12.65%
14,264,152,2.35%,2742,0.00%,2.35%,0,0,4.16%
42,186,116,0.00%,1550,0.76%,0.76%,0,14,4.81%
3,203,101,0.43%,1686,0.00%,0.43%,9,0,9.68%
19,375,438,4.87%,2284,1.01%,5.89%,0,32,3.51%
0,148,166,0.00%,1802,0.75%,0.75%,0,16,4.90%
9,224,285,1.47%,1730,0.00%,1.47%,0,0,7.69%
0,293,418,4.53%,1096,0.38%,4.91%,0,7,2.62%
20,517,91,0.39%,3008,0.33%,0.73%,0,11,0.18%
0,264,185,0.47%,2074,0.00%,0.47%,0,0,6.68%
0,451,223,1.32%,3448,0.00%,1.32%,12,0,5.17%
0,62,86,0.80%,1242,0.00%,0.80%,0,0,8.55%
29,337,230,0.00%,2991,0.00%,0.00%,0,0,3.02%
5,546,186,0.00%,2111,0.00%,0.00%,0,0,2.91%
0,50,115,0.00%,1354,0.00%,0.00%,0,0,12.73%
9,229,183,0.98%,2552,0.00%,0.98%,0,0,8.81%
0,260,401,2.04%,2322,0.00%,2.04%,3,0,4.64%
0,377,529,1.91%,1487,0.00%,1.91%,36,0,5.60%
0,282,146,1.52%,1686,0.00%,1.52%,0,0,2.42%
0,49,686,1.18%,978,0.56%,1.74%,0,10,3.32%
0,128,44,2.63%,750,0.00%,2.63%,0,0,1.37%
0,539,208,0.00%,2656,1.38%,1.38%,0,43,2.78%
0,362,75,0.00%,2709,0.00%,0.00%,0,0,4.60%
0,233,358,1.65%,2412,0.40%,2.05%,0,12,3.36%
0,239,145,1.95%,1819,0.00%,1.95%,0,0,6.70%
0,391,90,0.00%,2790,0.00%,0.00%,0,0,8.03%
0,28,87,7.34%,1271,0.00%,7.34%,34,0,2.35%
0,204,129,2.17%,1531,0.00%,2.17%,0,0,8.74%
16,649,33,1.96%,2636,0.55%,2.51%,17,18,3.58%
0,332,239,0.51%,2124,1.05%,1.55%,24,29,5.59%
0,291,191,0.89%,2616,0.00%,0.89%,0,0,2.70%
19,191,67,0.49%,2831,0.00%,0.49%,0,0,7.91%
0,92,39,4.96%,1995,0.00%,4.96%,0,0,2.37%
4,114,106,1.82%,1603,0.00%,1.82%,0,0,5.14%
0,141,132,1.35%,1498,0.00%,1.35%,0,0,7.29%
26,208,100,0.00%,883,0.18%,0.18%,0,2,0.97%
16,776,156,1.49%,4068,0.68%,2.17%,0,33,3.37%
0,212,102,2.74%,1118,0.00%,2.74%,0,0,4.59%
12,393,116,0.42%,1567,5.63%,6.05%,18,108,4.64%
0,165,47,2.16%,1634,0.00%,2.16%,0,0,1.42%
0,139,124,2.25%,1209,1.13%,3.38%,0,17,6.03%
0,338,232,0.00%,3329,0.00%,0.00%,0,0,4.19%
0,30,227,0.76%,823,0.00%,0.76%,0,0,4.66%
0,81,137,0.00%,1199,1.35%,1.35%,0,20,6.93%
0,59,25,5.02%,939,0.00%,5.02%,0,0,10.87%
76,492,131,3.56%,2910,0.00%,3.56%,0,0,2.29%
0,194,201,3.01%,1029,2.07%,5.08%,0,35,3.66%
