H,K,N,E,Q,J,C,L,B
7.01%,34,96,79.71%,4,0.00%,1603,1.82%,1868
39.93%,21,59,52.25%,0,0.56%,978,1.18%,1778
27.44%,138,19,51.99%,13,0.00%,1021,8.32%,1658
8.10%,0,57,77.90%,0,0.43%,1433,0.00%,1629
11.42%,0,72,63.36%,5,0.00%,2111,0.00%,2470
12.55%,22,0,61.99%,0,0.00%,1225,1.54%,1426
16.12%,32,51,66.57%,0,0.00%,1686,1.52%,2109
11.30%,111,106,68.94%,0,0.00%,2233,4.02%,2762
18.68%,43,118,60.52%,28,0.00%,843,3.39%,1269
11.39%,36,136,74.00%,0,0.00%,2793,1.08%,3346
5.29%,0,139,77.66%,0,0.00%,2709,0.00%,3022
4.97%,23,10,78.30%,0,0.00%,1351,1.56%,1470
8.81%,0,221,75.12%,0,0.00%,1354,0.00%,1736
10.52%,0,87,67.70%,0,1.38%,2656,0.00%,3127
15.86%,20,104,67.79%,0,0.00%,1229,1.24%,1608
11.43%,129,83,66.74%,76,0.00%,2910,3.56%,3623
7.40%,24,130,76.07%,0,0.00%,1498,1.35%,1784
9.57%,20,147,72.78%,0,0.00%,3100,0.55%,3637
12.41%,57,34,70.17%,107,0.00%,2964,1.58%,3610
0.83%,23,97,80.50%,0,0.00%,836,2.39%,964
11.04%,0,103,75.24%,0,1.35%,1199,0.00%,1486
8.36%,86,356,70.44%,0,0.44%,2273,2.89%,2977
5.02%,24,0,87.12%,0,0.00%,1016,2.19%,1095
12.61%,0,69,65.25%,0,0.00%,730,0.00%,944
5.73%,77,145,82.45%,0,0.00%,3049,2.22%,3470
13.48%,49,100,73.27%,0,0.40%,2412,1.65%,2974
3.42%,10,258,76.09%,10,0.00%,2210,0.39%,2576
12.97%,51,61,63.37%,16,0.32%,3925,1.07%,4748
9.75%,170,135,74.55%,0,0.00%,2730,5.06%,3363
13.42%,28,85,73.76%,0,0.00%,2616,0.89%,3152
17.72%,154,111,60.41%,19,1.01%,2284,4.87%,3160
13.30%,16,234,65.15%,10,0.00%,1800,0.67%,2376
3.33%,13,311,82.97%,17,0.00%,2854,0.39%,3305
23.92%,95,122,59.50%,11,0.00%,1422,4.33%,2195
8.29%,12,129,78.25%,0,0.00%,1242,0.80%,1508
12.19%,15,88,62.48%,20,0.00%,1815,0.68%,2207
4.44%,0,257,74.99%,0,0.00%,2790,0.00%,3199
10.01%,41,27,77.36%,0,0.00%,1634,2.16%,1899
3.89%,45,361,75.75%,41,0.00%,2296,1.58%,2854
18.73%,39,212,64.71%,101,0.35%,2214,1.23%,3171
4.87%,16,260,80.34%,19,0.00%,2831,0.49%,3286
