SF,3B,G
2,0,75
4,2,134
0,1,12
1,0,27
2,1,34
0,0,1
9,2,92
1,1,64
5,3,97
1,2,73
5,0,45
4,8,130
0,0,17
1,0,55
2,1,60
0,0,37
1,0,27
4,1,48
2,0,70
1,1,78
1,2,120
0,0,24
2,2,74
2,3,119
0,0,1
0,0,10
1,3,30
0,0,4
6,0,86
0,0,1
0,0,1
0,0,1
0,0,3
7,6,133
3,0,80
0,1,120
0,0,6
0,0,16
1,7,131
1,1,34
7,7,129
1,0,32
0,0,4
1,0,38
0,0,2
0,0,13
1,2,56
2,2,54
2,6,59
3,0,81
0,0,1
4,1,110
0,0,17
0,0,39
3,7,103
0,1,12
2,2,93
1,0,51
1,6,108
0,0,1
4,4,98
0,0,3
0,1,16
4,1,74
2,2,39
0,0,10
2,6,134
0,1,26
0,2,41
3,3,72
0,0,6
0,0,1
2,2,84
0,0,85
1,3,51
2,0,38
0,0,1
3,5,128
0,1,20
0,0,6
6,3,112
3,7,122
1,1,40
1,1,29
0,0,1
0,2,119
1,0,71
0,0,4
2,1,87
0,0,4
0,0,10
3,3,54
5,4,73
0,1,33
0,0,4
1,4,49
0,0,9
0,0,26
4,5,39
2,4,100
0,1,85
2,0,61
