SB,SH,G,AB,Team,SF,SLG
1,0,7,26,MB,0,.385
0,0,1,0,POT,0,--
0,3,26,73,WIL,0,.164
14,10,68,219,WIL,1,.279
1,2,26,84,WIL,0,.357
10,5,122,436,MB,3,.404
0,0,5,16,POT,0,.563
0,0,14,53,FRE,0,.245
1,1,15,45,WS,0,.356
2,0,41,124,SAL,0,.452
22,5,49,211,WS,1,.360
16,0,107,361,POT,3,.388
1,1,39,153,CAR,4,.366
0,0,3,11,MB,0,.182
2,0,62,216,SAL,4,.333
15,0,63,214,SAL,0,.547
0,0,6,19,WIL,0,.158
10,1,87,302,WS,2,.391
0,0,0,0,WS,0,--
3,0,38,124,WS,2,.274
1,1,23,82,CAR,0,.256
3,5,43,147,CAR,3,.238
0,1,73,241,CAR,3,.419
0,3,24,84,LYN,0,.226
10,1,41,131,FRE,0,.397
2,2,29,95,MB,1,.368
0,0,2,3,FRE,0,.000
3,0,30,110,POT,1,.464
5,1,59,191,POT,2,.335
1,1,19,59,SAL,0,.220
18,2,134,518,CAR,2,.400
0,0,75,285,FRE,2,.439
0,0,53,185,CAR,5,.346
1,1,20,71,CAR,0,.380
20,1,51,185,SAL,1,.551
0,0,4,17,FRE,0,.294
19,2,97,364,FRE,0,.313
0,0,1,2,FRE,0,.000
5,0,39,130,WIL,0,.338
15,2,103,323,POT,2,.341
0,0,1,3,POT,0,.000
0,0,12,41,CAR,0,.366
10,1,107,413,CAR,6,.513
6,0,65,229,SAL,1,.424
0,0,1,1,POT,0,.000
2,0,39,132,WIL,2,.394
10,1,135,506,MB,8,.385
5,3,72,272,MB,3,.390
0,0,15,49,WIL,2,.388
4,1,110,390,POT,4,.449
11,3,59,218,WS,2,.404
8,10,120,428,POT,2,.299
0,0,1,5,MB,0,.200
0,0,14,52,CAR,0,.269
1,0,10,25,LYN,0,.080
2,6,45,165,LYN,5,.315
1,0,60,225,WIL,2,.418
3,2,86,308,MB,6,.334
0,0,1,0,SAL,0,--
11,6,129,469,SAL,7,.416
3,0,61,221,LYN,2,.371
4,1,84,301,WS,3,.455
6,4,54,186,SAL,2,.263
19,5,112,372,MB,6,.296
1,0,21,76,CAR,0,.368
3,1,29,97,MB,0,.309
2,0,71,254,WIL,3,.469
8,2,117,361,MB,3,.302
0,0,3,10,LYN,0,.200
43,4,106,415,FRE,2,.287
21,1,85,332,SAL,0,.334
0,0,1,1,LYN,0,.000
0,0,6,18,POT,0,.944
0,1,65,228,LYN,1,.386
0,0,2,4,POT,0,1.500
