H,SO,SH,HR,AB,SLG,2B,Team,OPS,BB
68,27,4,5,233,.425,14,MTY,.794,26
0,2,0,0,6,.000,0,CAM,.143,1
59,32,4,0,228,.320,12,MIN,.629,15
23,12,3,0,98,.255,2,VRA,.620,18
13,5,0,0,36,.389,1,QR,.757,1
85,47,13,0,317,.328,19,CAM,.633,10
32,26,0,1,127,.339,8,MIN,.672,10
22,29,9,0,117,.205,2,LAR,.437,6
9,9,1,0,50,.200,1,CAM,.441,3
32,24,0,6,113,.496,6,LAR,.842,10
46,13,6,0,134,.388,6,PUE,.781,10
23,18,2,0,84,.310,1,VAQ,.690,8
1,1,0,0,4,.250,0,MTY,.500,0
114,37,6,12,354,.480,20,MVA,.914,72
107,66,4,4,386,.391,16,CHI,.779,61
78,82,2,14,300,.450,15,VAQ,.818,48
63,20,3,1,257,.296,8,LAR,.640,29
16,17,3,0,91,.198,0,OAX,.417,5
53,33,0,9,192,.495,11,MIN,.840,20
4,3,0,0,17,.235,0,MTY,.471,0
32,34,0,1,128,.336,6,QR,.692,20
0,0,0,0,1,.000,0,TAB,.500,0
134,48,0,11,371,.523,25,LAR,.960,50
151,55,8,11,415,.528,23,MXO,.915,16
123,27,8,1,378,.410,25,YUC,.800,39
21,19,1,0,107,.243,5,PUE,.526,10
1,2,0,0,8,.125,0,OAX,.236,0
17,9,0,2,55,.473,3,MXO,.844,5
0,1,0,0,3,.000,0,PUE,.000,0
101,19,11,1,289,.426,15,MXO,.823,18
73,53,0,10,290,.400,13,MTY,.748,45
84,37,0,19,271,.609,22,SLT,.978,27
74,60,14,2,269,.342,12,VAQ,.686,22
28,19,1,2,109,.376,7,VAQ,.752,20
8,6,1,1,26,.577,4,CAM,.956,3
110,81,1,11,365,.452,22,CHI,.863,66
143,60,1,10,433,.487,34,VAQ,.899,62
78,61,8,0,253,.383,9,VAQ,.747,19
115,30,7,4,385,.400,21,QR,.751,27
1,5,0,0,12,.167,1,MIN,.381,2
44,25,0,3,157,.389,6,MXO,.777,27
93,46,1,10,309,.453,17,TAB,.869,53
69,43,5,5,231,.446,13,OAX,.795,17
1,2,0,0,5,.200,0,MVA,.533,0
38,14,0,6,97,.619,4,TIJ,1.078,11
8,5,0,1,24,.542,2,CHI,.926,2
59,26,0,9,173,.555,10,MTY,1.002,31
1,2,1,0,35,.029,0,CAM,.110,2
54,26,1,3,158,.468,11,VRA,.854,10
45,23,0,2,162,.389,12,VAQ,.739,17
3,3,0,0,25,.120,0,OAX,.433,7
103,22,6,7,328,.436,17,QR,.814,26
123,49,0,16,410,.476,22,CAM,.834,35
68,32,3,2,262,.340,11,MTY,.691,31
5,2,0,0,20,.250,0,OAX,.650,5
13,15,2,0,67,.239,3,VRA,.456,1
