Team,RBI,2B,Player,AB,SLG,SF,OBP
OAX,2,1,K Harvey,21,.190,0,.217
PUE,12,6,F Valdez,134,.388,3,.393
CAM,4,4,F Acosta,26,.577,0,.379
MTY,22,11,C Orrantia,262,.340,2,.351
MTY,59,18,E Quintero,349,.499,4,.396
SLT,74,29,C Presichi,382,.558,4,.411
MIN,38,11,J Guzman,192,.495,3,.346
CHI,27,8,R Gastelum,202,.416,1,.364
CHI,6,2,V Gamez,83,.205,0,.244
CAM,0,0,F Cervera,6,.000,0,.143
OAX,6,0,M Patino,54,.185,0,.214
MXO,27,15,E Arredondo,289,.426,3,.397
CHI,23,16,D Smith,386,.391,2,.388
MVA,4,0,C Pons,50,.280,0,.356
VRA,6,3,R Candelario,67,.239,0,.217
YUC,13,6,A Arredondo,104,.394,0,.321
TIJ,66,16,D White,264,.598,1,.445
MTY,27,20,F Rios,288,.347,1,.354
VAQ,67,15,E Valdez,300,.450,6,.368
MXO,85,23,V Bojorquez,415,.528,5,.387
OAX,4,0,F Lopez,91,.198,0,.219
VRA,0,1,R Yan,30,.100,0,.152
OAX,15,4,R Aguirre,99,.485,0,.364
VRA,4,3,J Serna,51,.314,1,.361
YUC,5,2,G Angulo,94,.245,0,.284
MVA,81,27,J Gutierrez,397,.484,4,.381
CHI,59,30,B Gil,379,.504,2,.387
YUC,32,25,L Borges,378,.410,2,.390
MTY,10,8,A Castillo,44,.568,1,.375
QR,17,12,E Alfonzo,214,.379,2,.355
MXO,0,0,D Fernandez,0,--,0,1.000
YUC,65,21,W Romero,378,.503,9,.430
MIN,26,9,H Casillas,206,.306,1,.265
CAM,1,0,R Vizcarra,35,.029,0,.081
VRA,0,0,G Ruiz,7,.143,0,.143
CHI,6,2,M Inzunza,24,.542,0,.385
YUC,22,3,L Rodriguez,134,.328,2,.373
CHI,29,9,F Rodriguez,232,.349,2,.298
LAR,24,14,G Vazquez,378,.347,3,.341
TAB,2,1,E Rangel,36,.250,0,.282
TIJ,45,15,J Espinoza,396,.409,1,.385
TAB,52,21,M Martinez,356,.402,2,.377
TAB,19,7,T Robles,205,.278,2,.317
MTY,29,16,M Flores,294,.388,2,.390
VRA,54,16,J Vega,304,.355,3,.290
SLT,2,0,C Gonzalez,14,.214,0,.267
MXO,78,21,C Valencia,356,.567,7,.326
MTY,16,5,C Rodriguez,159,.314,1,.313
MVA,8,1,J Perez,66,.333,0,.324
TAB,4,2,M Alfonso,86,.337,0,.337
MTY,8,1,D Hinojosa,73,.178,0,.282
LAR,23,8,H Garcia,307,.293,2,.305
QR,7,5,K Flores,105,.238,0,.248
VAQ,25,9,I Araujo,253,.383,2,.363
MXO,46,12,J Macias,301,.492,1,.396
MXO,27,10,R Petagine,129,.605,1,.488
OAX,4,1,C Sosa,49,.245,0,.321
QR,50,21,C Gastelum,385,.400,2,.351
QR,36,17,S Contreras,305,.397,3,.362
QR,17,7,A Contreras,137,.423,0,.387
TIJ,6,4,F Esparragoza,87,.322,1,.280
SLT,37,20,J Cota,349,.375,3,.322
CAM,70,22,R Rivera,366,.637,1,.464
MXO,13,3,R Acosta,55,.473,1,.371
OAX,5,0,M Nettles,52,.192,1,.246
TIJ,27,10,A Munoz,262,.321,2,.278
TIJ,23,4,P O'Sullivan,97,.619,1,.459
TIJ,6,4,J Martinez,119,.303,0,.396
SLT,17,6,J Aceves,159,.453,0,.328
MVA,1,0,J Aguilar,18,.222,0,.222
LAR,17,8,S Guerrero,257,.296,0,.345
LAR,14,2,J Romo,168,.292,2,.332
SLT,30,8,F Arias,211,.318,4,.300
MIN,22,12,D Urias,228,.320,1,.309
CAM,40,14,J Rivera,338,.379,7,.345
MIN,3,0,O Jimenez,51,.235,0,.226
SLT,56,19,N Munoz,322,.432,1,.409
SLT,4,1,C Alvarez,58,.293,0,.274
MIN,61,23,W Otanez,400,.413,6,.368
LAR,12,5,L Nieblas,159,.233,4,.260
CHI,20,8,W Veras,173,.416,1,.380
VRA,50,14,R Mendez,312,.397,1,.401
TAB,57,21,V Rodriguez,397,.471,7,.395
MIN,5,5,B Rios,56,.482,0,.322
SLT,28,20,J Munoz,287,.449,1,.404
OAX,4,0,J Nieves,42,.357,0,.302
MVA,45,32,D McDonald,409,.506,1,.413
MVA,1,1,A Lamas,23,.261,0,.250
OAX,1,0,D Gonzalez,25,.120,0,.313
OAX,1,0,R Avila,8,.125,1,.111
MXO,2,0,J Cordova,27,.111,0,.200
VAQ,57,9,D Leon,345,.362,4,.369
CAM,0,0,F Villaescusa,12,.083,0,.267
CHI,36,15,C Valle,274,.361,0,.326
CAM,15,5,J Esqueda,141,.333,1,.283
VAQ,20,12,R Gonzalez,162,.389,2,.350
PUE,30,15,R Serrano,335,.355,3,.301
TIJ,16,7,C Herrera,218,.266,2,.285
PUE,70,28,C Tapia,379,.483,4,.390
TAB,0,0,J Reyes,1,.000,0,.500
VAQ,8,0,J Canizales,47,.362,0,.333
CHI,22,7,W Arano,190,.368,2,.349
QR,15,6,J Franco,128,.336,0,.356
SLT,40,15,P Llano,278,.396,4,.302
CHI,12,5,H Hurtado,131,.290,0,.257
VRA,32,6,H Hernandez,232,.306,4,.297
