Jurisdiction,Civil Matters,Civil Matters - % of Total,Housing Matters,Housing Matters - % of Total,Custody/ Visitation/ Divorce,Custody/ Visitation/ Divorce - % of Total,Youth,Youth - % of Total,Other Family,Other Family - % of Total,Criminal Matters,Criminal Matters - % of Total,Surrogate Matters,Surrogate Matters - % of Total,Public Welfare and Benefit Issues,Public Welfare and Benefit Issues - % of Total,Other,Other - % of Total,Total
Statewide Total,"9,256",25.08%,"3,924",10.63%,"11,320",30.67%,"1,400",3.79%,"2,387",6.47%,"4,539",12.30%,3,0.01%,"3,274",8.87%,805,2.18%,"36,908"
NYC Total,"1,261",13.98%,864,9.58%,"1,603",17.77%,447,4.96%,874,9.69%,"3,245",35.98%,1,0.01%,534,5.92%,190,2.11%,"9,019"
Albany,58,9.97%,35,6.01%,321,55.15%,4,0.69%,90,15.46%,4,0.69%,0,0.00%,39,6.70%,31,5.33%,582
Allegany,43,49.43%,4,4.60%,9,10.34%,0,0.00%,3,3.45%,22,25.29%,0,0.00%,0,0.00%,6,6.90%,87
Bronx,55,2.82%,50,2.57%,372,19.10%,0,0.00%,260,13.35%,"1,132",58.11%,1,0.05%,70,3.59%,8,0.41%,"1,948"
Broome,438,26.18%,67,4.00%,401,23.97%,3,0.18%,4,0.24%,1,0.06%,0,0.00%,689,41.18%,70,4.18%,"1,673"
Cattaraugus,69,29.49%,0,0.00%,9,3.85%,3,1.28%,7,2.99%,138,58.97%,0,0.00%,1,0.43%,7,2.99%,234
Cayuga,16,21.92%,6,8.22%,33,45.21%,1,1.37%,0,0.00%,5,6.85%,0,0.00%,1,1.37%,11,15.07%,73
Chautauqua,139,19.12%,71,9.77%,373,51.31%,5,0.69%,2,0.28%,55,7.57%,0,0.00%,4,0.55%,78,10.73%,727
Chemung,17,2.81%,20,3.31%,494,81.65%,1,0.17%,40,6.61%,9,1.49%,0,0.00%,19,3.14%,5,0.83%,605
Chenango,74,18.50%,8,2.00%,298,74.50%,2,0.50%,2,0.50%,0,0.00%,0,0.00%,7,1.75%,9,2.25%,400
Clinton,337,62.29%,145,26.80%,25,4.62%,0,0.00%,3,0.55%,10,1.85%,0,0.00%,16,2.96%,5,0.92%,541
Columbia,40,14.49%,13,4.71%,122,44.20%,75,27.17%,5,1.81%,6,2.17%,0,0.00%,4,1.45%,11,3.99%,276
Cortland,3,1.91%,9,5.73%,123,78.34%,1,0.64%,18,11.46%,0,0.00%,0,0.00%,1,0.64%,2,1.27%,157
Delaware,20,5.48%,6,1.64%,323,88.49%,3,0.82%,1,0.27%,0,0.00%,0,0.00%,6,1.64%,6,1.64%,365
Dutchess,619,51.20%,117,9.68%,163,13.48%,6,0.50%,251,20.76%,3,0.25%,1,0.08%,29,2.40%,20,1.65%,"1,209"
Erie,587,32.56%,256,14.20%,394,21.85%,1,0.06%,30,1.66%,441,24.46%,0,0.00%,82,4.55%,12,0.67%,"1,803"
Essex,2,5.13%,4,10.26%,22,56.41%,0,0.00%,2,5.13%,0,0.00%,0,0.00%,4,10.26%,5,12.82%,39
Franklin,1,20.00%,2,40.00%,1,20.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,20.00%,0,0.00%,5
Fulton,5,2.55%,2,1.02%,180,91.84%,2,1.02%,0,0.00%,0,0.00%,0,0.00%,4,2.04%,3,1.53%,196
Genesee,128,37.54%,44,12.90%,161,47.21%,0,0.00%,0,0.00%,1,0.29%,0,0.00%,1,0.29%,6,1.76%,341
Greene,20,3.75%,21,3.94%,66,12.38%,2,0.38%,3,0.56%,2,0.38%,0,0.00%,405,75.98%,14,2.63%,533
Hamilton,2,28.57%,2,28.57%,2,28.57%,0,0.00%,1,14.29%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7
Herkimer,20,3.23%,387,62.42%,183,29.52%,1,0.16%,7,1.13%,3,0.48%,0,0.00%,7,1.13%,12,1.94%,620
Jefferson,84,15.76%,13,2.44%,253,47.47%,0,0.00%,4,0.75%,1,0.19%,0,0.00%,175,32.83%,3,0.56%,533
Kings,380,15.15%,213,8.49%,485,19.34%,3,0.12%,255,10.17%,959,38.24%,0,0.00%,178,7.10%,35,1.40%,"2,508"
Lewis,8,15.09%,0,0.00%,23,43.40%,0,0.00%,2,3.77%,0,0.00%,0,0.00%,20,37.74%,0,0.00%,53
Livingston,17,4.50%,12,3.17%,254,67.20%,15,3.97%,30,7.94%,27,7.14%,0,0.00%,12,3.17%,11,2.91%,378
Madison,19,24.05%,18,22.78%,23,29.11%,0,0.00%,7,8.86%,2,2.53%,0,0.00%,1,1.27%,9,11.39%,79
Monroe,17,2.22%,15,1.96%,312,40.78%,3,0.39%,194,25.36%,128,16.73%,0,0.00%,64,8.37%,32,4.18%,765
Montgomery,13,5.42%,52,21.67%,108,45.00%,1,0.42%,37,15.42%,1,0.42%,0,0.00%,15,6.25%,13,5.42%,240
Nassau,"2,296",60.17%,252,6.60%,556,14.57%,0,0.00%,13,0.34%,80,2.10%,1,0.03%,605,15.85%,13,0.34%,"3,816"
New York,591,35.73%,160,9.67%,359,21.70%,0,0.00%,96,5.80%,212,12.82%,0,0.00%,152,9.19%,84,5.08%,"1,654"
Niagara,8,1.24%,12,1.86%,454,70.50%,0,0.00%,6,0.93%,122,18.94%,0,0.00%,0,0.00%,42,6.52%,644
Oneida,122,17.23%,132,18.64%,316,44.63%,0,0.00%,104,14.69%,3,0.42%,0,0.00%,24,3.39%,7,0.99%,708
Onondaga,201,17.83%,161,14.29%,518,45.96%,39,3.46%,119,10.56%,23,2.04%,0,0.00%,37,3.28%,29,2.57%,"1,127"
Ontario,27,16.67%,4,2.47%,71,43.83%,0,0.00%,17,10.49%,32,19.75%,0,0.00%,6,3.70%,5,3.09%,162
Orange,199,35.41%,49,8.72%,212,37.72%,72,12.81%,5,0.89%,1,0.18%,0,0.00%,19,3.38%,5,0.89%,562
Orleans,2,33.33%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,3,50.00%,0,0.00%,0,0.00%,0,0.00%,6
Oswego,20,6.39%,8,2.56%,279,89.14%,2,0.64%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,1.28%,313
Otsego,12,3.85%,9,2.88%,268,85.90%,4,1.28%,3,0.96%,4,1.28%,0,0.00%,3,0.96%,9,2.88%,312
Putnam,44,13.17%,16,4.79%,238,71.26%,4,1.20%,7,2.10%,1,0.30%,0,0.00%,13,3.89%,11,3.29%,334
Queens,104,5.76%,381,21.08%,261,14.44%,74,4.10%,200,11.07%,684,37.85%,0,0.00%,81,4.48%,22,1.22%,"1,807"
Rensselaer,31,16.67%,17,9.14%,113,60.75%,0,0.00%,6,3.23%,2,1.08%,0,0.00%,0,0.00%,17,9.14%,186
Richmond,131,11.89%,60,5.44%,126,11.43%,370,33.58%,63,5.72%,258,23.41%,0,0.00%,53,4.81%,41,3.72%,"1,102"
Rockland,75,51.72%,10,6.90%,4,2.76%,1,0.69%,2,1.38%,15,10.34%,0,0.00%,31,21.38%,7,4.83%,145
Saratoga,348,74.52%,64,13.70%,27,5.78%,0,0.00%,1,0.21%,0,0.00%,0,0.00%,24,5.14%,3,0.64%,467
Schenectady,177,42.96%,90,21.84%,109,26.46%,1,0.24%,14,3.40%,9,2.18%,0,0.00%,11,2.67%,1,0.24%,412
Schoharie,9,26.47%,7,20.59%,11,32.35%,0,0.00%,0,0.00%,1,2.94%,0,0.00%,5,14.71%,1,2.94%,34
Schuyler,3,2.44%,5,4.07%,95,77.24%,0,0.00%,14,11.38%,4,3.25%,0,0.00%,1,0.81%,1,0.81%,123
Seneca,0,0.00%,0,0.00%,54,80.60%,1,1.49%,5,7.46%,3,4.48%,0,0.00%,2,2.99%,2,2.99%,67
St. Lawrence,536,74.34%,115,15.95%,41,5.69%,0,0.00%,6,0.83%,0,0.00%,0,0.00%,23,3.19%,0,0.00%,721
Steuben,159,29.28%,30,5.52%,94,17.31%,61,11.23%,173,31.86%,17,3.13%,0,0.00%,6,1.10%,3,0.55%,543
Suffolk,291,52.34%,56,10.07%,2,0.36%,1,0.18%,1,0.18%,78,14.03%,0,0.00%,124,22.30%,3,0.54%,556
