BATTING,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
2005,BOS,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
2006,MIA,158,700,633,119,185,46,11,17,59,51,15,56,128,0.292,0.353,0.48,0.833
2007,MIA,154,706,639,125,212,48,6,29,81,51,14,52,95,0.332,0.386,0.562,0.948
2008,MIA,153,693,589,125,177,34,4,33,67,35,12,92,122,0.301,0.4,0.54,0.94
2009,MIA,151,652,576,101,197,42,1,24,106,27,8,61,101,0.342,0.41,0.543,0.953
2010,MIA,142,619,543,92,163,28,2,21,76,32,10,64,93,0.3,0.378,0.475,0.853
2011,MIA,92,385,338,55,82,16,0,10,45,20,10,44,66,0.243,0.333,0.379,0.712
2012,MIA,93,395,353,49,87,18,2,14,48,14,4,37,72,0.246,0.322,0.428,0.75
2012,LAD,64,272,251,30,68,11,2,10,44,7,3,17,60,0.271,0.324,0.45,0.774
2012,Total,157,667,604,79,155,29,4,24,92,21,7,54,132,0.257,0.322,0.437,0.759
2013,LAD,86,336,304,62,105,25,2,20,57,10,2,27,52,0.345,0.402,0.638,1.04
2014,LAD,128,512,449,64,127,35,0,13,71,14,5,56,84,0.283,0.369,0.448,0.817
2015,BOS,89,363,337,54,90,7,1,19,48,4,3,20,55,0.267,0.311,0.463,0.774
Career, ,1312,5635,5014,876,1493,310,31,210,702,265,86,526,930,0.298,0.369,0.498,0.867
