Nov,Oct,Present,Sep
1,0,0,0
0,0,0,0
0,1,0,0
0,2,5,0
0,27,0,6
0,0,1,0
0,0,0,0
0,9,0,0
0,0,0,0
8,15,0,0
26,58,0,27
0,32,0,7
0,3,22,27
1,12,0,2
1,452,2,0
7,1409,0,778
3:30,26:15, ,20:45
0,0,1,0
0,0,0,0
0,0,0,0
9,39,70,14
0,1,0,0
0,0,0,4
0,0,0,1
1,1,0,0
0,0,3,0
0,0,1,0
0,0,0,0
0,1,0,3
0,1,0,0
0,1,0,2
0,0,0,8
0,1,0,0
0,0,1,0
57,152,4,20
33,31,0,61
4,15,0,32
0,174,0,78
0,0,0,0
0,20,0,1
0,0,1,0
0,2,0,0
0,0,0,0
0,0,0,5
0,2,4,1
0,0,0,0
0,5,0,6
0,6,0,16
0,0,488,25
2,8,1,8
10,67,2,19
0,0,0,1
3,21,0,4
0,0,0,0
0,64,151,6
0,6,13,0
0,5,24,6
9,40,1,0
0,9,0,0
133,271,0,147
1,0,0,0
0,129,0,132
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,1,0,0
0,19,0,0
0,0,0,0
0,0,0,0
0,3,0,0
0,4,0,7
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,3,0
347,4818,0,9
4,6,1,0
0,0,0,0
546,84722,0,872
0,0,3,0
0,3,0,1
0,11,4,13
54,3,0,0
0,3,0,0
0,1,0,0
0,58,0,17
0,58,0,35
0,0,0,0
573,1079,300,2545
0,3,20,419
0,0,1,0
0,0,1,0
0,0,0,0
0,0,87,0
7,0,0,0
18,0,0,0
0,0,95,0
0,0,0,0
0,0,0,0
4,1,0,4
24,513,0,7
0,472,11,6
1,23,0,2
0,55,0,28
