S,Feb,Jun,Last,Oct,May,Totals
292,0,0,28 Dec,18,86,501
0,0,0,18 May,0,11,11
2587,2,0,8 Dec,1409,599,3467
145,21,0,29 Dec,64,29,249
0,0,0,4 May,0,0,0
25,0,0,28 Oct,11,0,37
28,0,0,8 Dec,15,51,199
15,0,0,8 Dec,4,16,51
111,6,1,29 Dec,67,10,146
74,0,0,8 Dec,0,0,74
0,0,0,10 Mar,0,0,0
1,0,0,28 Dec,0,0,1
4,0,0,25 Sep,0,0,5
1,0,0,4 Oct,1,0,1
4,0,0,28 Oct,3,2,6
3,0,0,7 Oct,1,0,8
478,0,0,28 Oct,472,0,526
0,0,0,18 Aug,0,0,0
93,0,0,29 Dec,36,6,682
1,0,0,7 Jan,0,0,5
62,0,0,28 Dec,2,0,118
22,0,0,20 Oct,6,5,32
60,0,8,26 Nov,12,203,439
186,0,0,29 Dec,14,7,595
2,0,0,1 May,0,2,4
1,1,0,26 May,0,1,3
26,0,1,28 Sep,0,7,37
21,0,0,28 Oct,19,0,23
32,0,0,8 Dec,1,0,32
41,0,0,8 Dec,5,441,991
20,0,0,8 Dec,8,0,36
1,0,0,19 Oct,1,0,1
0,0,0,18 May,0,2,2
0,0,0,31 Aug,0,0,47
7,0,0,23 Sep,0,29,38
1,0,0,28 Sep,0,0,1
9,0,0,5 Oct,9,179,514
15,0,0,8 Dec,0,0,15
5259,0,0,29 Dec,4818,13,5316
1,0,0,7 Oct,1,0,1
870,7,0,29 Dec,66,83,1410
2,0,0,28 Dec,0,0,2
1,0,0,28 Oct,1,0,1
1,0,0,25 Jul,0,19,27
0,0,0,18 May,0,1,1
905,0,11,20 Oct,139,199,1478
1,0,0,5 Oct,1,0,1
1,0,0,7 Oct,1,0,1
0,0,0,18 May,0,4,4
113,0,0,26 Nov,92,13,132
0,0,0,18 May,0,14,14
4763,30,3,29 Dec,1079,290,6731
535,0,0,28 Oct,3,1309,2026
0,0,0,29 Dec,0,0,0
127,0,0,26 Nov,18,24,244
76,0,0,19 Oct,20,28,136
2,0,0,5 Oct,1,0,3
0,0,0,30 Apr,0,0,1
1,0,0,31 Aug,0,41,134
7,0,0,28 Oct,7,0,7
33,0,0,28 Oct,27,0,37
2,0,0,20 Oct,2,0,2
8,0,0,22 Sep,0,0,8
0,0,0,18 Aug,0,0,0
1,0,0,29 Dec,0,0,1
 ,0:30,1:00, ,26:15,25:45,149:35
