SLG,Team,RBI,3B,POS,2B,AB,OPS,SO
0.388,TB,47,7,CF,19,505,0.702,120
0.286,MIN,4,0,RF,1,28,0.458,16
0.38,MIN,19,2,RF,10,192,0.671,52
0.714,NYY,5,0,LF,0,14,1.126,5
0.418,OAK,46,7,CF,25,455,0.742,64
0.242,MIN,4,0,RF,1,66,0.489,21
0.352,BOS,12,0,CF,7,199,0.674,35
0.387,NYY,3,0,LF,2,31,0.804,7
0.333,LAA,5,0,RF,3,24,0.593,5
0.217,LAA,1,0,RF,1,23,0.457,6
0.354,DET,29,6,LF,10,291,0.684,80
0.505,OAK,82,5,LF,25,487,0.861,102
0.396,SEA,36,3,LF,12,285,0.698,80
0.37,TEX,6,2,CF,5,46,0.605,12
0.473,NYY,93,0,RF,36,537,0.837,141
0.571,TB,1,0,LF,0,7,0.714,1
0.247,CLE,7,0,RF,4,97,0.493,25
0.26,BOS,5,0,CF,3,96,0.532,26
0.341,SEA,20,0,LF,6,164,0.654,46
0.317,OAK,9,0,RF,2,104,0.654,27
0.463,OAK,85,5,RF,29,611,0.768,151
0.395,MIN,41,4,CF,38,516,0.738,62
0.0,BAL,0,0,OF,0,1,0.0,0
0.429,TB,59,3,LF,18,399,0.769,102
0.479,DET,66,10,CF,29,543,0.856,134
0.37,BOS,26,0,CF,18,303,0.682,43
0.25,CLE,2,0,LF,1,28,0.383,8
0.327,TB,5,2,LF,3,98,0.644,14
0.278,BAL,12,0,LF,6,158,0.515,24
0.25,TB,3,0,LF,0,20,0.432,9
0.577,TEX,128,2,LF,31,562,0.93,162
0.284,CWS,4,0,CF,1,67,0.564,16
0.453,NYY,62,3,LF,19,384,0.761,67
0.352,BAL,4,0,LF,3,71,0.609,13
0.471,BAL,54,3,RF,28,420,0.834,51
0.505,BAL,82,3,CF,39,648,0.839,126
0.399,SEA,25,3,RF,12,271,0.672,87
0.42,SEA,17,1,RF,10,150,0.729,31
0.091,TB,1,0,LF,0,22,0.258,5
0.441,CLE,67,2,RF,43,598,0.815,150
0.396,BAL,18,0,LF,4,96,0.711,25
0.261,CLE,2,0,LF,1,23,0.511,6
0.374,TOR,15,0,RF,4,147,0.648,44
0.454,TB,78,3,CF,29,573,0.752,169
0.411,DET,74,1,LF,27,574,0.707,112
0.627,BAL,10,0,LF,6,67,0.96,14
0.25,BOS,0,0,CF,0,12,0.5,5
0.403,LAA,29,0,LF,9,243,0.682,35
0.408,NYY,34,0,RF,7,233,0.701,71
0.46,TEX,90,0,RF,45,585,0.779,140
0.492,NYY,106,4,CF,18,596,0.811,195
0.479,TEX,61,3,LF,29,457,0.859,74
0.41,CWS,50,6,LF,29,524,0.76,109
0.392,TEX,26,3,CF,12,240,0.759,41
0.516,CWS,91,8,RF,37,605,0.85,92
0.305,KC,2,1,RF,2,59,0.597,9
0.395,CLE,11,3,LF,6,147,0.707,35
0.219,MIN,1,0,RF,0,32,0.516,3
0.491,OAK,47,0,LF,10,279,0.868,104
0.319,TOR,11,3,CF,7,166,0.622,59
0.248,DET,7,1,LF,2,113,0.523,22
0.388,CLE,31,0,LF,10,232,0.676,59
0.091,BOS,0,0,OF,0,11,0.182,4
0.378,KC,49,3,RF,26,561,0.665,119
