TOV%,BLK%,G,Date
 ,0.0,55,1997-03-13
0.0,0.0,13,1996-11-27
0.0,11.7,20,1996-12-11
0.0,0.0,30,1997-01-02
0.0,6.2,21,1996-12-13
0.0,4.7,22,1996-12-14
7.0,7.1,37,1997-01-19
0.0,0.0,24,1996-12-20
0.0,6.8,29,1996-12-30
20.5,0.0,1,1996-11-01
100.0,0.0,25,1996-12-22
0.0,28.6,23,1996-12-18
50.0,6.0,47,1997-02-11
33.3,0.0,59,1997-03-20
0.0,0.0,26,1996-12-23
40.0,7.6,8,1996-11-15
0.0,0.0,43,1997-02-01
33.3,8.3,48,1997-02-12
25.8,3.3,41,1997-01-28
0.0,9.5,58,1997-03-19
25.0,0.0,63,1997-03-28
0.0,3.5,15,1996-12-03
50.0,0.0,9,1996-11-16
22.5,8.5,70,1997-04-20
25.0,0.0,3,1996-11-05
25.0,0.0,2,1996-11-02
