GS,ORtg,TRB%,Age
0,94,24.8,28-284
0,109,2.8,28-287
1,113,13.9,28-335
1,73,14.3,28-338
0,0,6.1,28-273
1,85,15.8,28-313
0,37,6.0,28-238
1,89,19.0,28-343
1,96,12.0,28-354
1,123,16.9,28-337
0,53,10.8,28-290
1,71,14.4,28-341
0,0,14.0,28-247
1,119,20.5,28-364
1,110,9.0,28-361
0,67,9.0,29-014
1,65,11.5,29-003
1,127,1.9,28-326
1,98,8.3,28-316
0,0,11.4,28-249
1,75,16.9,29-020
1,67,22.1,28-324
0,105,10.2,28-261
1,72,0.0,29-016
1,104,16.5,29-022
1,78,15.2,29-005
1,147,8.8,28-358
1,53,10.7,28-352
0,175,21.8,28-259
1,103,13.5,29-010
0,93,0.0,28-289
0,118,9.7,28-266
