Tm,Age,G
SAS,29-086,21
UTA,29-206,66
SAS,29-070,13
UTA,29-198,63
UTA,29-184,56
UTA,29-174,52
SAS,29-136,37
UTA,29-180,54
SAS,29-117,33
UTA,29-194,61
UTA,29-188,58
UTA,29-209,68
UTA,29-183,55
SAS,29-041,1
SAS,29-077,16
SAS,29-151,42
SAS,29-089,23
UTA,29-163,46
SAS,29-048,5
SAS,29-068,12
SAS,29-066,11
UTA,29-160,45
SAS,29-081,18
UTA,29-170,49
UTA,29-207,67
SAS,29-057,9
SAS,29-142,39
SAS,29-054,8
UTA,29-167,48
SAS,29-093,25
UTA,29-171,50
SAS,29-149,41
SAS,29-109,31
SAS,29-051,6
SAS,29-104,29
SAS,29-111,32
UTA,29-173,51
UTA,29-155,43
UTA,29-186,57
