SF,SO,SLG,HR,2B,G
2,55,0.342,1,19,120
0,10,0.304,1,1,19
0,2,0.395,0,2,11
2,19,0.317,0,9,50
3,21,0.305,3,4,57
0,36,0.191,1,2,59
0,10,0.222,0,2,9
4,45,0.347,1,8,70
3,27,0.352,1,6,38
1,45,0.45,10,10,72
1,18,0.25,0,4,33
1,10,0.225,0,3,42
2,42,0.351,3,15,73
6,119,0.297,3,12,107
4,56,0.397,7,17,107
1,34,0.488,7,16,67
5,100,0.363,3,26,128
0,7,0.143,0,0,7
1,23,0.388,0,8,43
2,47,0.346,2,18,102
1,36,0.311,1,12,57
0,2,0.5,0,0,3
1,28,0.357,2,4,43
4,102,0.327,1,17,129
0,76,0.384,6,17,79
1,95,0.299,4,9,94
6,60,0.39,4,33,125
0,4,0.727,2,3,6
0,2,0.286,0,1,3
0,1,0.0,0,0,1
0,53,0.286,1,12,75
0,154,0.397,13,11,119
3,60,0.319,1,17,88
2,70,0.376,7,11,85
2,69,0.42,5,20,84
6,72,0.315,2,19,99
1,13,0.349,2,2,22
2,72,0.446,10,25,117
