Player,SPG,TOV,FGM,#,MPG,3P%,FGA
Kris Rolle,0.1,0.3,0.4,63,7.2,0.0,0.6
Jeron Belin,0.8,1.8,3.4,13,23.2,0.277,8.3
Lamin Fulton,1.1,1.9,3.2,17,29.6,0.345,8.7
Yvon Raymond,1.1,1.7,2.4,25,21.8,0.274,5.4
Kinzey Reeves,0.1,0.5,0.6,56,9.5,0.362,1.6
Kaimondre Owes,0.5,1.3,2.6,22,18.9,0.205,6.2
Jon Hogga,0.2,0.7,1.1,46,12.6,0.207,2.9
Gaetano Spera,0.0,0.2,0.2,68,11.3,0.0,1.3
Jack Hill,0.2,0.5,0.6,59,8.6,0.0,1.3
Raul Orta,0.9,1.7,3.9,7,30.8,0.365,9.7
Ryan Bacon,0.9,2.1,3.7,15,26.0,0.0,7.1
Markese Tucker,0.2,0.5,2.0,34,12.4,0.0,3.9
Quadir Welton,0.5,1.3,2.2,28,23.0,0.0,4.7
Kee-Kee Clark,2.2,3.4,8.2,1,38.6,0.365,20.4
Howard Sellars,0.1,0.2,0.5,60,7.2,0.091,1.8
Corey Hinnant,0.6,0.9,2.4,23,20.5,0.31,6.3
Tim Spitler,0.8,1.1,0.8,51,13.5,0.19,2.1
Marvin Dominique,1.0,1.9,5.5,2,33.1,0.347,11.9
Tyler DeChalus,0.0,0.2,0.0,75,2.6,0.0,0.8
Kahlil Mumford,0.4,1.0,1.0,47,12.3,0.258,3.3
Kabeya Kabongo,0.1,0.3,0.2,74,4.8,0.0,0.8
Akeem Gooding,1.1,2.1,2.9,19,26.7,0.074,6.9
Simeon Dennis,0.2,0.2,0.2,70,4.2,0.333,0.8
Jose Irizarry,0.0,0.0,0.3,72,3.0,0.0,0.3
Lawrence Graham,0.0,0.0,0.0,78,4.0,0.0,0.0
Quentin Martin,0.5,0.8,1.6,40,19.7,0.353,4.0
Desi Washington,1.3,1.7,4.4,3,33.6,0.344,11.7
Derrick Hooker,0.5,0.5,0.6,54,7.4,0.426,1.5
Brandon Hall,1.1,1.2,0.6,53,17.7,0.256,2.1
C.J. Reid,0.2,0.9,0.4,67,8.1,0.2,1.2
Trevis Wyche,1.2,1.9,2.1,21,28.9,0.265,5.7
Elias Desport,0.2,0.7,0.7,52,12.9,0.25,1.8
Elisha Boone,0.2,0.7,1.3,48,10.2,0.429,3.1
Ron Yates,1.4,2.6,4.0,6,27.5,0.323,8.7
Mark Curry,0.4,0.7,0.7,55,11.9,0.0,1.5
Corien John,1.8,2.4,3.6,16,26.3,0.0,7.6
Melvin Robinson,0.3,1.2,1.7,38,13.2,0.2,4.6
George Jefferson,0.4,0.4,1.5,37,9.1,0.333,4.3
Ivan Bozovic,0.6,1.3,1.7,35,21.1,0.256,4.3
Jamin Shumate,0.2,0.7,0.5,65,7.8,0.0,0.8
Steven Samuels,1.1,1.8,2.2,27,22.2,0.347,5.4
