Season,Team,GP,GS,Min,FGM,FGA,FG%,3FGM,3FGA,3P%,FTM,FTA,FT%,FIC,OFF,DEF,Reb,Ast,Stl,Blk,PF,TO,Pts
2011-12 *,All Teams,9,8,202.4,34,67,0.507,0,0,0.0,23,39,0.59,86,15,46,61,8,11,12,23,9,91
2011-12 *,BES,6,5,127.4,20,43,0.465,0,0,0.0,15,25,0.6,48,10,26,36,5,6,7,18,4,55
2011-12 *,BES,3,3,75.0,14,24,0.583,0,0,0.0,8,14,0.571,38,5,20,25,3,5,5,5,5,36
2012-13 *,All Teams,66,42,1356.9,230,402,0.572,0,0,0.0,158,271,0.583,427,124,213,337,37,36,47,186,97,616
2012-13 *,EFE,37,16,696.9,129,224,0.576,0,0,0.0,93,148,0.628,242,61,114,175,24,20,24,101,47,349
2012-13 *,EFE,29,26,660.0,101,178,0.567,0,0,0.0,65,123,0.528,184,63,99,162,13,16,23,85,50,267
2013-14 *,All Teams,39,28,831.0,123,241,0.51,0,0,0.0,88,146,0.603,239,63,137,200,22,20,31,85,56,334
2013-14 *,EFE,22,13,465.1,82,144,0.569,0,0,0.0,57,90,0.633,150,41,79,120,8,11,14,53,36,221
2013-14 *,EFE,17,15,365.9,41,97,0.423,0,0,0.0,31,56,0.554,89,22,58,80,14,9,17,32,20,113
2014-15 *,All Teams,59,14,659.7,134,193,0.694,0,0,0.0,66,116,0.569,236,65,95,160,28,17,18,115,52,334
2014-15,FEN,58,14,641.7,130,186,0.699,0,0,0.0,66,116,0.569,234,64,95,159,27,17,18,113,50,326
2014-15 *,FEN,33,2,387.0,83,124,0.669,0,0,0.0,45,80,0.562,150,38,59,97,17,14,12,63,32,211
2014-15 *,FEN,24,12,242.1,43,58,0.741,0,0,0.0,21,35,0.6,75,24,34,58,9,3,5,47,18,107
