MP,Rk,AST%,TS%,STL%,GmSc
18:00,29,7.2,.750,0.0,6.2
7:00,30,16.7,.000,0.0,0.2
3:00,36,43.2,.000,18.6,1.0
25:00,10,6.6,.255,0.0,1.6
18:00,12,6.7,.500,0.0,1.0
22:00,9,6.8,.610,0.0,9.8
21:00,3,7.7,.872,0.0,12.8
10:00,22,0.0,.410,0.0,-1.8
19:00,11,28.1,.500,0.0,4.1
7:00,37,0.0,.000,8.2,-3.2
9:00,53,14.7,.400,0.0,1.5
23:00,4,5.8,.694,0.0,3.5
6:00,49,18.6,.000,0.0,0.0
4:00,56,0.0,.773,0.0,5.0
16:00,50,7.1,.532,0.0,2.4
7:00,35,0.0,.347,0.0,0.1
6:00,41,0.0, ,0.0,-1.2
16:00,17,15.8,.727,0.0,7.8
6:00,40,0.0,1.000,0.0,-0.5
7:00,46,0.0,1.136,0.0,2.9
6:00,45,23.5,.521,8.6,1.9
22:00,13,7.5,.625,0.0,10.4
15:00,31,0.0,.410,0.0,1.1
20:00,1,18.8,.579,2.6,7.8
3:00,38,0.0, ,0.0,0.3
