SO,CS,RBI,R,G,AVG,SB,Player,H
27,3,13,21,46,.191,2,J Rivas,26
9,1,1,3,15,.182,0,M Rivero,8
9,0,6,6,29,.228,1,C Torres,13
15,1,17,17,40,.286,9,L Barahona,24
12,0,8,9,21,.265,2,J Moreno,18
24,0,6,13,22,.241,2,H Mesa,13
47,4,32,31,58,.241,7,J Gomez,49
22,2,16,15,37,.236,4,J Rosario,30
15,0,7,7,17,.153,0,E Lopez,9
44,1,20,22,55,.259,2,D Barbuena,45
6,0,5,2,8,.235,3,R Ramirez,8
27,0,7,8,31,.200,2,A Feliz,15
20,6,4,24,42,.248,2,J Heredia,26
20,1,13,12,24,.208,1,R De Castro,16
7,0,9,5,39,.186,0,P Coa,16
5,0,1,5,16,.217,0,F Rios,5
10,3,7,8,24,.315,3,A Paz,23
11,3,6,11,41,.247,5,R Colatosti,20
25,2,13,15,37,.286,7,V Feliz,32
22,1,5,13,37,.202,1,S Guerrero,21
35,3,21,18,54,.270,5,E Daniel,47
31,1,15,14,25,.220,1,J Pimentel,20
40,3,17,16,46,.214,5,N Berro,27
21,1,5,3,15,.229,1,E Hernandez,11
7,0,5,2,17,.289,2,N Aguida,13
20,0,5,4,20,.172,0,A Mejia,10
11,0,9,11,30,.253,4,W Marcelino,21
13,3,2,12,34,.121,6,R Rodriguez,7
26,0,12,4,24,.186,1,G Parra,11
25,4,8,17,46,.195,13,L Caballero,26
46,4,12,23,43,.147,4,C Cartagena,21
36,6,10,11,46,.187,5,A Fernandez,25
19,4,1,11,37,.130,3,M Reyes,9
46,2,13,24,42,.205,5,J Casilla,25
22,2,21,17,50,.221,1,F Baez,31
45,2,33,51,66,.231,11,J Puente,42
24,0,7,12,27,.238,1,Y Gutierrez,20
10,1,10,14,33,.257,1,L Madrid,29
23,1,8,6,29,.222,0,F Galvez,18
24,6,13,19,37,.257,4,L Blanco,28
13,0,6,2,28,.161,0,K Calderon,9
29,2,20,18,42,.262,0,R Garcia,34
14,1,2,12,24,.176,4,Y Adames,12
5,0,3,0,11,.227,1,F Dicen,5
22,0,7,5,34,.165,0,D Ledezma,15
35,5,20,26,39,.264,8,J Gonzalez,34
17,0,5,5,18,.164,0,J Ugas,10
20,3,1,5,17,.059,1,M Vallejo,2
6,0,0,0,6,.200,0,M Gonzalez,2
16,5,6,11,32,.210,6,J Infante,22
18,7,6,23,34,.222,6,R Moreno,26
49,11,32,53,66,.324,34,R Fortunato,79
5,0,2,3,10,.192,2,J Morales,5
0,0,0,1,1,--,0,A German,0
35,0,3,7,30,.126,0,D Garcia,11
18,0,7,9,36,.170,1,E Rubio,16
26,0,3,1,14,.086,0,Y Del Rosario,3
9,0,4,1,18,.208,2,G Villavicencio,10
12,0,13,10,28,.194,0,F Pizzoli,14
11,4,0,8,27,.262,1,E Salmeron,11
57,3,25,25,58,.219,9,A Chavez,41
23,6,15,21,44,.307,12,D Francisco,47
41,3,19,17,40,.185,5,C Martinez,22
25,13,18,34,55,.297,23,M Reyes,47
34,6,21,32,52,.297,8,A Gonzalez,44
22,13,7,16,55,.201,11,J Mejia,32
58,13,53,48,66,.324,21,J Vasquez,72
8,1,4,10,28,.148,0,N Ramos,9
79,4,12,32,61,.177,12,C Lara,38
28,4,19,30,68,.219,11,Y Silfa,52
4,0,1,1,9,.105,1,J Sotelo,2
13,2,10,15,38,.313,3,J Jimenez,20
47,9,29,40,64,.215,16,M Rivera,43
14,4,16,19,38,.241,4,E Salcedo,26
26,4,6,11,31,.207,1,G Quintana,12
38,5,10,26,55,.174,16,R Pena,24
46,4,23,22,60,.219,3,F Lora,43
26,1,9,4,37,.165,2,M Avea,14
27,5,17,18,62,.240,2,K Weijgertse,35
20,17,14,21,47,.345,23,D Gonzalez,60
31,2,22,48,52,.239,27,R Linares,38
1,0,0,0,1,.000,0,J Alonzo,0
36,1,30,38,59,.292,5,D Eusebio,66
27,6,6,6,29,.204,5,J Santos,20
1,0,2,2,5,.250,0,F Perez,2
21,1,7,5,44,.139,2,J De La Cruz,16
18,2,2,1,12,.238,2,J Tapia,10
22,3,13,28,35,.250,14,D Baez,23
49,3,24,27,58,.234,5,M Marmolejos,44
30,4,30,26,47,.293,4,V Castro,49
31,7,24,29,58,.286,3,J Alcala,56
0,0,0,0,1,--,0,F Garces,0
45,6,26,12,50,.183,0,J Pena,31
14,0,4,5,19,.206,0,J Meneses,13
16,4,21,28,49,.315,9,J Rondon,52
39,12,31,40,73,.321,33,M De La Cruz,85
20,0,7,7,29,.203,3,O Oses,15
22,1,23,26,53,.244,6,L Villegas,40
22,3,13,23,46,.247,2,R Vigil,43
18,1,15,15,47,.223,1,M Del Castillo,27
37,0,4,18,44,.169,2,Y Ramirez,23
8,0,9,11,29,.221,1,L Cedeno,19
27,4,35,17,61,.267,3,M Laguna,52
25,2,20,22,54,.222,6,V Martinez,39
38,10,42,29,60,.290,17,L Marte,67
0,0,0,0,2,--,1,Y Angulo,0
50,1,27,39,62,.171,14,C Rondon,35
20,8,7,31,39,.297,26,W Difo,43
36,6,15,33,60,.279,13,R Bueno,53
59,0,13,21,49,.197,5,V Lupo,26
11,0,12,19,42,.272,1,F Castillo,41
14,3,5,11,45,.272,6,A Machillanada,25
43,5,5,12,41,.168,3,M De Leon,22
28,6,28,45,62,.275,20,J Boni,56
42,0,16,28,52,.216,3,D Diaz,33
22,2,5,19,40,.274,4,L Canelon,29
6,2,11,10,22,.300,1,B Campos,21
1,2,6,8,11,.323,5,R Ozuna,10
76,2,23,30,57,.221,6,Y Araujo,42
10,0,1,2,15,.148,0,A Almanza,4
42,2,28,20,53,.268,1,R Nunez,52
26,9,26,43,62,.378,22,R Reyes,84
21,4,20,27,46,.264,8,J Basilio,38
39,5,23,19,46,.250,6,V Cruzado,38
21,0,7,4,21,.141,2,F Castillo,10
8,0,9,9,18,.241,3,D Burgos,14
35,3,18,27,44,.278,8,A Rodriguez,40
15,0,34,19,46,.261,0,R Martini,42
9,0,3,10,16,.250,4,J Pimentel,14
7,1,11,12,37,.255,0,S Martinez,26
