BPG,FGM,FG%,PPG,3PM,3P%,MPG,APG
5.5,24.0,0.443,68.7,5.4,0.337,40.1,14.8
6.0,25.8,0.459,71.8,7.1,0.346,40.7,14.1
2.7,23.9,0.427,69.1,7.0,0.334,39.9,11.5
2.8,23.6,0.4,65.2,7.0,0.334,40.8,12.3
4.8,22.5,0.424,61.5,5.1,0.317,40.0,10.8
5.0,26.6,0.435,73.7,6.0,0.3,40.3,14.8
3.7,20.8,0.408,60.3,6.1,0.335,40.0,11.0
2.2,22.3,0.39,66.2,6.2,0.312,40.5,9.5
4.0,21.2,0.4,61.6,6.3,0.322,40.7,10.9
4.4,22.0,0.432,63.7,6.1,0.345,40.0,10.1
2.8,23.8,0.467,68.3,6.4,0.368,40.3,13.1
2.8,23.0,0.418,63.5,6.9,0.341,40.2,12.9
3.8,25.4,0.461,71.0,4.7,0.353,40.3,12.6
3.3,22.8,0.439,64.2,5.9,0.362,40.3,13.9
3.9,22.8,0.444,70.0,8.3,0.378,40.7,12.8
2.8,21.5,0.437,63.5,4.8,0.322,40.0,11.4
2.4,22.2,0.43,63.0,5.7,0.331,40.2,12.2
2.8,23.0,0.414,63.9,4.5,0.32,40.6,11.3
3.1,24.0,0.44,67.5,3.5,0.268,40.3,11.7
4.1,19.2,0.407,58.3,5.7,0.336,40.3,10.7
5.1,25.3,0.457,71.5,7.3,0.383,40.8,14.7
2.5,27.8,0.457,77.1,5.9,0.338,40.0,16.0
3.3,23.6,0.396,65.0,5.5,0.305,40.6,11.0
4.2,19.9,0.408,60.8,5.9,0.357,40.6,11.6
2.3,25.7,0.463,70.5,6.8,0.377,40.2,13.1
2.6,26.0,0.433,71.4,6.6,0.334,40.2,16.0
3.2,22.9,0.408,61.8,5.2,0.302,40.3,11.6
2.1,22.6,0.426,62.9,5.9,0.363,40.0,12.6
3.0,22.5,0.43,67.1,5.9,0.351,40.6,12.9
3.8,27.6,0.464,78.1,6.0,0.361,41.0,15.2
2.6,19.2,0.357,54.8,4.4,0.272,40.4,9.3
1.7,23.9,0.424,69.3,5.3,0.32,40.5,11.5
3.0,24.6,0.462,73.2,7.5,0.369,40.1,13.9
2.4,24.6,0.437,66.9,5.7,0.327,40.8,13.6
3.9,21.9,0.41,61.0,4.4,0.315,40.2,12.1
4.4,26.4,0.455,74.5,7.3,0.348,40.3,14.8
3.2,28.4,0.441,76.7,7.6,0.376,40.1,17.1
5.0,23.2,0.406,66.6,5.2,0.322,40.3,12.2
2.8,20.6,0.404,60.0,5.8,0.337,40.3,10.3
3.3,22.4,0.432,67.0,5.4,0.32,40.4,11.8
5.5,24.3,0.439,68.5,5.4,0.32,41.0,10.2
5.0,20.6,0.401,56.6,4.9,0.331,40.1,10.7
3.1,23.8,0.465,69.9,6.8,0.372,40.8,12.7
3.9,24.5,0.459,68.0,4.9,0.338,40.0,13.2
4.6,25.0,0.44,70.3,8.9,0.356,40.6,14.1
4.4,24.2,0.439,71.5,6.2,0.337,40.3,13.2
1.3,23.5,0.448,67.0,6.4,0.381,40.1,14.6
2.6,24.1,0.45,69.3,6.6,0.347,40.1,12.9
3.9,20.9,0.401,60.6,4.7,0.284,40.3,10.0
2.3,22.7,0.453,64.4,5.9,0.361,40.2,15.1
3.4,20.9,0.389,58.8,6.1,0.312,41.0,11.3
3.1,23.1,0.434,67.9,6.1,0.336,40.5,11.8
4.8,23.8,0.419,70.1,5.4,0.305,40.4,15.1
3.5,24.6,0.442,69.4,6.8,0.34,40.2,12.1
3.3,24.2,0.398,64.2,3.8,0.261,40.1,10.9
4.2,23.1,0.434,67.5,5.4,0.345,40.0,11.4
4.2,26.5,0.434,71.4,4.8,0.299,40.5,13.8
3.3,23.6,0.429,68.9,5.9,0.335,40.4,12.9
5.7,24.2,0.415,69.2,8.5,0.341,40.6,13.4
2.7,21.2,0.401,62.8,6.5,0.338,40.4,12.2
4.7,23.6,0.409,64.9,4.6,0.273,40.2,12.5
2.5,21.2,0.37,63.0,6.0,0.303,40.2,9.7
4.4,23.6,0.431,66.9,4.2,0.299,40.4,12.1
2.8,23.3,0.457,65.2,4.5,0.351,40.3,11.2
4.2,24.6,0.468,67.1,6.9,0.358,40.3,12.5
3.1,22.7,0.406,68.6,6.4,0.311,41.1,10.5
4.5,27.1,0.46,76.0,6.9,0.353,40.3,15.9
1.3,21.7,0.401,64.0,7.4,0.334,40.2,10.1
4.4,23.4,0.457,64.2,6.1,0.385,40.1,14.0
1.9,23.7,0.418,68.0,6.6,0.337,40.7,12.7
3.7,22.1,0.449,63.8,5.5,0.351,40.6,13.4
4.6,25.9,0.447,72.0,5.8,0.364,40.2,14.3
3.8,25.1,0.436,71.3,6.5,0.359,41.0,11.5
3.3,25.0,0.452,72.8,7.8,0.347,40.6,12.8
4.1,22.9,0.425,66.0,6.4,0.346,40.5,12.8
4.6,25.5,0.442,74.4,8.0,0.361,40.3,14.7
3.0,28.1,0.454,80.4,8.3,0.367,41.0,15.4
2.9,22.2,0.417,59.0,4.7,0.289,40.2,12.3
6.7,26.6,0.481,75.2,5.8,0.364,40.7,15.5
4.3,22.9,0.441,65.6,6.0,0.347,40.0,11.2
2.6,25.4,0.475,71.8,5.9,0.384,40.3,14.0
4.2,28.1,0.496,77.4,5.3,0.391,40.1,14.6
3.6,23.6,0.424,65.8,6.7,0.342,40.0,11.7
2.3,24.7,0.443,65.5,6.9,0.357,40.6,13.1
6.4,27.1,0.471,74.5,6.1,0.372,40.3,16.8
2.7,24.3,0.437,68.1,5.3,0.345,40.4,12.4
2.2,24.2,0.447,71.8,8.7,0.388,40.5,13.5
3.0,24.8,0.453,67.4,5.7,0.334,40.9,14.3
2.8,25.1,0.435,70.6,5.0,0.323,40.3,12.3
1.5,23.1,0.397,64.8,5.5,0.31,40.0,12.2
3.9,23.8,0.412,68.5,7.8,0.321,40.1,10.1
3.6,23.4,0.397,66.8,6.1,0.314,40.6,11.9
4.2,25.2,0.433,69.1,6.7,0.334,40.4,15.7
3.5,25.6,0.451,72.1,7.7,0.377,40.3,14.1
5.2,25.4,0.434,73.0,7.1,0.336,40.2,14.6
3.4,21.5,0.416,67.9,6.0,0.331,40.7,12.1
2.5,23.3,0.443,68.9,7.0,0.371,40.9,13.7
1.8,24.6,0.449,67.8,8.0,0.37,40.3,13.6
4.5,23.5,0.423,69.0,4.4,0.309,40.6,9.7
5.3,24.4,0.436,68.9,4.3,0.317,41.0,12.3
1.3,22.3,0.427,60.0,6.0,0.348,40.4,13.6
2.5,19.6,0.372,55.9,5.2,0.286,40.0,8.2
3.7,21.9,0.406,60.2,4.8,0.298,40.0,10.9
4.5,24.8,0.453,70.8,7.1,0.357,40.3,13.9
2.6,23.3,0.422,65.8,5.6,0.325,40.7,13.1
3.4,26.1,0.452,73.0,6.1,0.343,40.2,13.9
2.2,23.8,0.438,67.3,5.3,0.305,40.5,12.6
3.1,21.5,0.407,58.3,5.0,0.307,40.0,9.8
2.6,22.5,0.437,64.7,7.9,0.367,40.3,14.0
3.2,20.6,0.401,60.7,7.6,0.341,40.2,14.6
3.2,24.2,0.423,68.2,5.2,0.324,40.6,12.9
1.7,24.4,0.427,70.6,6.7,0.337,40.7,11.3
1.0,20.8,0.397,60.5,7.4,0.329,40.2,11.3
2.2,22.1,0.404,62.3,6.5,0.327,40.2,10.1
2.1,21.9,0.409,67.5,8.1,0.332,40.3,13.0
3.9,23.0,0.435,65.1,6.0,0.349,40.3,11.5
3.8,22.9,0.422,66.5,5.1,0.337,40.0,11.6
3.2,24.7,0.446,72.4,8.1,0.37,40.5,14.3
4.5,24.6,0.426,66.2,4.3,0.32,40.3,13.8
3.4,27.5,0.456,77.8,7.1,0.341,40.0,14.6
2.1,24.6,0.439,67.0,4.5,0.311,40.2,10.6
3.3,25.2,0.446,73.5,9.2,0.386,40.3,12.7
4.5,26.8,0.506,75.7,7.2,0.416,40.4,14.0
3.3,23.4,0.432,65.6,6.1,0.35,40.3,13.0
3.1,24.8,0.457,69.1,8.1,0.384,40.1,14.3
1.7,25.8,0.46,73.2,7.8,0.391,40.2,13.2
2.8,19.7,0.401,55.0,3.7,0.311,40.0,10.1
3.0,28.1,0.45,76.9,7.8,0.351,40.3,14.5
2.5,23.0,0.397,62.0,6.4,0.312,41.1,11.3
2.2,20.3,0.391,55.1,5.5,0.326,40.2,11.7
2.9,25.0,0.438,69.2,5.8,0.366,40.4,15.9
3.6,27.5,0.451,74.4,4.9,0.333,40.6,16.0
4.1,24.4,0.434,66.3,5.2,0.294,40.0,12.8
2.0,23.8,0.418,69.3,5.2,0.298,40.3,11.8
3.8,21.4,0.385,60.4,4.9,0.294,40.1,9.1
1.2,24.9,0.437,74.1,7.2,0.355,40.3,13.1
5.1,22.9,0.422,65.4,6.1,0.36,40.6,10.1
3.8,25.4,0.428,70.8,7.5,0.356,40.6,14.3
3.3,21.7,0.377,62.1,5.1,0.3,40.2,10.9
4.8,24.9,0.417,66.3,5.2,0.33,41.0,12.3
2.9,23.3,0.429,69.1,7.0,0.375,40.4,12.3
4.0,22.6,0.392,60.3,4.6,0.282,40.5,12.1
5.7,25.8,0.455,71.8,6.9,0.332,40.6,14.7
4.3,26.2,0.428,72.9,7.1,0.352,40.7,12.6
5.1,27.1,0.438,77.2,6.6,0.324,40.4,12.5
2.7,25.4,0.422,73.8,7.3,0.327,40.6,12.8
2.6,26.2,0.501,74.4,8.5,0.414,40.0,16.9
2.4,25.0,0.455,68.9,5.4,0.377,40.2,13.1
4.1,24.1,0.453,67.0,4.6,0.358,40.0,13.4
4.2,22.6,0.475,68.3,6.4,0.398,40.5,13.0
5.0,22.6,0.41,68.7,5.7,0.324,40.3,10.7
3.6,26.4,0.482,78.6,7.1,0.403,40.3,14.3
4.4,21.0,0.403,62.1,5.8,0.304,40.1,10.9
3.4,25.4,0.462,73.1,7.6,0.392,40.0,14.6
3.9,24.7,0.426,70.2,5.7,0.314,40.6,10.2
5.3,25.1,0.431,71.4,7.2,0.347,40.9,14.8
3.6,22.7,0.412,64.3,5.7,0.342,40.0,12.5
3.1,23.1,0.446,68.2,6.0,0.34,40.3,12.9
