Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
K Lewis,DAY,OF,.211,26,90,9,19,2,2,1,6,8,25,11,6,1,0,1,.290,.311,.601
C Tatum,DAY,C,.188,37,128,16,24,7,1,1,12,21,30,0,2,0,0,2,.311,.281,.593
H Hernandez,DAY,1B,.282,47,181,18,51,14,1,3,23,3,31,3,0,5,0,4,.301,.420,.721
P Janish,DAY,SS,.245,55,208,30,51,10,2,5,29,29,38,5,2,8,4,1,.346,.385,.730
M Sandoval,DAY,2B,.165,26,85,11,14,4,2,0,4,9,39,2,1,1,0,1,.276,.259,.534
B Himes,DAY,OF,.255,27,106,18,27,11,0,2,18,16,33,1,2,0,0,2,.363,.415,.778
P Gentry,DAY,OF,.271,88,365,51,99,23,7,5,47,23,79,13,5,5,4,3,.323,.414,.737
C Ziemendorf,DAY,C,.172,9,29,4,5,1,0,0,4,4,10,0,0,0,0,0,.294,.207,.501
B Szymanski,DAY,OF,.262,50,191,32,50,8,1,10,26,21,57,7,1,0,2,6,.332,.471,.803
D Anderson,DAY,2B,.246,105,407,59,100,15,9,6,37,31,96,15,9,3,2,6,.298,.371,.669
J Purdom,DAY,C,.277,89,318,36,88,19,0,2,39,33,52,1,0,1,2,8,.366,.355,.721
J Piepkorn,DAY,OF,.266,107,421,68,112,24,3,22,77,30,94,4,3,1,4,5,.328,.494,.822
C Strait,DAY,OF,.266,116,413,63,110,16,4,14,60,38,102,25,7,7,1,6,.349,.426,.775
C Kroski,DAY,C,.270,59,211,29,57,11,3,6,32,24,48,3,1,0,1,2,.349,.436,.785
B Key,DAY,3B,.242,68,256,25,62,4,0,6,31,16,76,0,0,0,2,8,.285,.328,.613
T Lawhorn,DAY,2B,.261,84,303,39,79,19,4,6,45,13,63,11,6,6,7,3,.294,.409,.703
B Mosby,DAY,1B,.245,52,188,25,46,8,0,9,28,14,60,0,0,0,3,5,.303,.431,.734
J Belcher,DAY,OF,.292,25,89,14,26,7,0,1,8,11,12,2,2,0,1,2,.366,.404,.771
A Rosales,DAY,SS,.328,32,134,24,44,8,0,9,21,10,24,3,1,0,2,3,.378,.590,.968
R Gonzalez,DAY,C,.091,4,11,0,1,0,0,0,0,0,5,0,0,0,0,0,.091,.091,.182
J Mejia,DAY,SS,.197,49,157,22,31,5,1,1,14,22,35,4,3,1,2,3,.293,.261,.554
J Wolfe,LAN,C,.306,24,62,12,19,4,0,4,10,7,14,0,0,0,0,0,.377,.565,.941
C Cannon,LAN,1B,.268,46,168,22,45,9,2,11,36,20,47,0,0,0,1,1,.351,.542,.892
C Patton,LAN,OF,.200,58,180,23,36,9,0,6,22,14,55,0,3,0,2,3,.259,.350,.609
C Thigpen,LAN,C,.287,79,293,41,84,18,2,5,35,54,34,5,0,2,2,10,.397,.413,.810
J Reiman,LAN,C,.148,9,27,2,4,0,0,0,3,1,8,0,0,0,0,0,.179,.148,.327
L Hetherington,LAN,OF,.266,72,207,40,55,10,2,0,21,49,55,10,3,0,1,3,.420,.333,.754
A Sanders,LAN,OF,.278,10,36,4,10,2,0,0,3,6,5,1,0,0,0,0,.381,.333,.714
J Armstrong,LAN,SS,.289,118,484,63,140,20,0,0,52,29,61,9,3,0,5,6,.335,.331,.666
