YEAR,AGE,IP,AVG,NAME
2013,23,100.0,0.243,Zack Wheeler
2013,30,150.0,0.276,Jason Vargas
2013,35,133.3,0.318,Barry Zito
2013,25,124.0,0.259,Joe Kelly
2013,28,213.7,0.255,Jeff Samardzija
2013,27,186.7,0.252,David Price
2013,29,75.3,0.293,Wilton Lopez
2013,32,212.3,0.246,C.j. Wilson
2013,23,201.3,0.203,Madison Bumgarner
2013,26,80.0,0.201,A.j. Ramos
2013,24,152.3,0.233,Dan Straily
2013,28,138.3,0.277,John Danks
2013,23,104.7,0.196,Tony Cingrani
2013,27,213.3,0.239,Jordan Zimmermann
2013,32,87.7,0.214,Alfredo Simon
2013,25,77.0,0.268,Adam Warren
2013,31,169.3,0.272,Jerome Williams
2013,32,167.7,0.269,Jorge De La Rosa
2013,23,75.3,0.223,Trevor Rosenthal
2013,32,211.0,0.272,Cc Sabathia
2013,30,112.3,0.261,Ricky Nolasco
2013,36,191.0,0.231,A.j. Burnett
2013,30,139.3,0.284,Jason Hammel
2013,34,222.7,0.232,Cliff Lee
2013,34,203.7,0.276,Mark Buehrle
2013,29,175.3,0.281,Edwin Jackson
2013,27,145.7,0.293,Phil Hughes
2013,24,177.0,0.27,Rick Porcello
2013,22,124.3,0.267,Martin Perez
2013,27,137.7,0.279,Esmil Rogers
2013,32,169.7,0.268,Dan Haren
2013,25,83.3,0.241,Brad Peacock
2013,36,202.0,0.258,Bronson Arroyo
2013,22,141.7,0.285,Jordan Lyles
2013,29,182.7,0.239,Ubaldo Jimenez
2013,28,77.0,0.239,Todd Redmond
2013,34,211.7,0.285,Jeremy Guthrie
2013,34,198.7,0.259,Kyle Lohse
2013,28,124.0,0.268,Ian Kennedy
2013,30,90.7,0.235,Scott Feldman
2013,29,94.0,0.289,Luis Mendoza
2013,29,81.3,0.305,Josh Johnson
2013,22,77.7,0.263,Alex Wood
2013,30,218.3,0.253,Justin Verlander
2013,26,175.0,0.233,Andrew Cashner
2013,38,224.7,0.242,R.a. Dickey
2013,20,172.7,0.182,Jose Fernandez
2013,27,197.0,0.258,Kris Medlen
2013,28,77.0,0.234,Brandon Kintzler
2013,32,80.0,0.244,Jake Peavy
2013,24,150.3,0.216,Matt Moore
2013,30,92.7,0.25,J.a. Happ
2013,26,202.7,0.261,Wade Miley
2013,29,208.7,0.281,Doug Fister
2013,27,80.3,0.244,Ryan Webb
2013,29,220.0,0.246,Cole Hamels
2013,24,214.3,0.23,Chris Sale
2013,30,91.0,0.234,Scott Feldman
2013,29,142.3,0.291,Edinson Volquez
2013,25,166.3,0.242,Jeff Locke
2013,27,130.7,0.26,Jeremy Hefner
