MP,Date,USG%,ORB%
19:08,2010-12-10,4.9,0.0
23:21,2010-11-19,11.5,6.0
18:46,2010-11-15,7.5,14.2
19:45,2011-04-10,11.9,16.8
5:54,2011-02-23,7.2,17.7
10:38,2011-01-06,17.3,17.7
12:42,2010-12-25,10.9,9.7
9:25,2010-11-26,14.1,20.8
23:28,2011-03-27,8.0,0.0
22:52,2011-02-04,6.8,17.0
19:03,2011-04-11,9.2,0.0
11:04,2010-11-14,15.9,11.7
18:54,2011-03-13,17.7,11.5
27:15,2011-03-04,10.1,9.5
20:13,2011-03-07,11.5,0.0
20:48,2011-03-14,12.1,18.7
18:10,2010-11-29,15.1,16.9
25:15,2011-03-20,5.5,4.5
19:33,2011-03-02,6.7,5.8
29:35,2010-12-19,19.8,15.5
27:03,2011-02-13,9.5,0.0
22:21,2010-12-17,18.2,15.3
17:10,2010-11-22,10.6,16.9
19:47,2011-01-26,4.2,0.0
29:09,2011-01-19,6.2,12.0
26:00,2010-12-31,7.3,4.9
20:09,2010-12-29,16.0,6.6
21:34,2010-11-24,6.4,10.1
20:24,2010-12-12,2.4,12.4
6:39,2011-01-13,7.0,0.0
19:42,2010-11-28,17.2,18.7
17:02,2011-04-01,2.8,0.0
25:05,2011-02-25,18.5,0.0
24:52,2010-12-06,1.8,4.0
22:33,2011-02-22,4.1,0.0
23:07,2011-01-30,7.5,9.7
15:13,2011-02-15,5.5,8.5
34:21,2011-01-28,4.1,15.7
14:08,2011-01-01,8.9,6.2
20:53,2011-03-23,6.7,7.7
22:05,2011-01-12,9.6,12.1
