TOV%,Opp,USG%,DRB%,GS,Date
0.0,HOU,4.9,12.4,0,2002-11-09
14.5,IND,12.7,12.5,0,2003-01-11
0.0,NYK,14.5,22.0,0,2003-02-21
14.8,CHI,8.4,11.8,0,2002-11-20
0.0,PHO,4.3,19.0,0,2002-11-30
0.0,LAL,9.1,10.7,0,2003-04-16
29.1,TOR,7.7,26.8,0,2003-02-14
0.0,HOU,17.7,14.9,0,2003-01-04
12.2,DEN,11.9,6.5,0,2003-02-24
25.0,SEA,15.1,12.0,0,2003-03-15
0.0,TOR,11.5,17.8,0,2002-12-27
20.0,DAL,8.6,8.9,0,2002-11-04
0.0,MIN,11.3,26.0,0,2003-01-08
0.0,DEN,15.4,0.0,0,2003-04-06
33.3,BOS,6.3,31.2,0,2003-03-26
 ,MIL,0.0,14.0,0,2002-11-22
22.2,CHI,13.8,23.8,0,2003-03-06
12.5,POR,13.2,21.6,0,2003-04-04
50.0,DEN,10.0,0.0,0,2002-11-29
0.0,MEM,10.5,9.2,0,2002-11-11
11.1,LAC,16.2,19.6,0,2003-02-26
50.0,WAS,8.4,27.9,0,2003-03-23
17.0,BOS,12.2,17.2,0,2003-02-18
0.0,MEM,7.7,18.9,0,2003-02-03
28.6,WAS,18.6,17.1,0,2003-01-10
0.0,MIA,6.2,0.0,0,2002-12-14
66.7,MIN,20.7,18.6,0,2002-12-05
12.5,CLE,14.4,25.9,0,2003-01-15
0.0,MIA,9.9,15.6,0,2003-01-06
14.3,SAS,12.9,4.5,0,2002-11-05
34.7,UTA,6.2,13.4,0,2003-01-31
0.0,SAC,9.8,15.7,0,2003-03-18
41.0,SAS,9.2,26.1,0,2003-02-05
17.0,CLE,12.5,6.8,0,2003-03-25
0.0,LAC,5.0,19.8,0,2002-12-28
52.1,PHI,9.8,21.3,0,2002-12-30
20.5,NYK,12.8,14.6,0,2003-02-12
